བྲས-བུ	resultant level
བྲས-བུའི-སྐྱབས-འགྲོ	resultant taking of safe direction
བྲས-དུས-ཀྱི-རྣམ-ཤེས-ཀྱི-ཡན-ལག	link of loaded consciousness at the time of the result
བྲི-གུང-བཀའ-བརྒྱུད	Drigung Kagyu
བྲུག-པ-བཀའ-བརྒྱུད	Drugpa Kagyu
ཆི-བྱེད	make one dead
ཆི-སྲིད	death existence
དས-པ	no-longer-happening
དོད-ཆགས	longing desire
དོད-ཁམས	 realm of desirable sense objects|plane of sensory desires 
དོད-ལ-འདུན-པ	intentions to experience desirable objects
དོད-པ	compelling wish
དོད-པ-ཉེ-བར-ལེན-པ	obtainer desire
དོད-པའི-ལྷ	Kama
དོད-སྲེད	craving in relation to what is desirable
འདུ	juxtaposition
དུ-བྱེད	affecting variable
དུ-བྱེད-ཀྱི-ཕུང-པོ	aggregate of other affecting variables
དུ-བྱེད-ཀྱི-ཡན-ལག	link of affecting impulses
དུ-ཤེས	 recognition|distinguishing 
དུ-ཤེས-གསུམ	three recognitions
དུ-ཤེས-ཀྱི-ཕུང-པོ	aggregate of distinguishing
དུལ-བ	rules of discipline
དུན-པ	intention
དུས-མ-བྱས	unaffected phenomenon
དུས-བྱས-ཀྱི-ཆོས	affected phenomenon
ཛིན-ཆ	mental hold
ཛིན-པ	cognitively taking an object
ཛིན-སྟངས	way of cognitively taking an object
གག-པ	refute
གལ-བ	mutually exclusive
གོག-པ	stopping
གོག-པའི-བདེན-པ	true stopping
གྲོ-བ	wandering being
གྲོ-བ-རིགས-དྲུག	six realms of existence
གྱོད-པ	regret
གྱུར-བའི-སྡུག-བསྔལ	suffering of change
ཇའ-ལུས	rainbow body
ཇིག-པ	perishing
ཇིག-རྟེན-ལ-གྲགས-པ	commonsense object
ཇིག-རྟེན-ལས-འདས-པ	supramundane
ཇིག-རྟེན-པ	 mundane | perishable based things/aims|householder 
ཇིག-རྟེན-པའ-ཆོས-བརྒྱད	eight transitory things in life
ཇིག-ཚོགས-ལ-ལྟ-བ	deluded outlook toward a transitory network
ཇིགས-པ	dread
ཇིགས-སྲེད	craving because of fear
ཇོག-སྒོམ	stabilizing meditation
ཇུག-པ	cognitive engagement
ཇུག-སེམས	engaged bodhichitta
ཇུག-ཡུལ	involved object
ཁོར-བ	samsara
ཁོར-ལོ-གསུམ	three circles
ཁྲེལ-མེད	no care for how our actions reflect on others
ཁྲེལ-ཡོད	care for how our actions reflect on others
ཁྲུལ-བ	deceptive
ཁྲུལ-བ-ཡེ-ཤེས-སུ-དག-པ	purifying confusion into deep awareness
ཁྲུལ-ཤེས	deceptive cognition
ཁྲུལ-སྣང	deceptive appearance
ཨོད-གསལ	clear light awareness
ཕགས-ལམ	arya pathway mind
ཕགས-པ	arya
ཕངས-པའི-འབྲས-བུའི-ཡན-ལག	resultant links of what has been thrown
ཕེན-བྱེད-ཀྱི-ལས	throwing karma
ཕེན-བྱེད-ཀྱི-ཡན-ལག	causal links that throw
འཕྲང	dangerous gorges
ཕྲིན-ལས	 influencing nature|enlightening influence 
ཕྲོ-བ	distraction
འབད-མེད	effortless
འོད-ལུས	light body
ཨ-ནུ-ཡོ-ག	anuyoga tantra
ཨ-ཏི-ཡོ-ག	 atiyoga tantra|atiyoga 
བག-ཆགས	 karmic habit | karmic latency|karmic constant habit 
བག-ཆགས-ཀྱི-ཀུན-གཞི	alaya for habits
བག-ལ-ཉལ	dormant factor
བག-ལ-ཉལ-གྱི-ཤེས-པ	subliminal cognition
བག-མེད	reckless
བག-ཡོད	caring attitude
བར-ཆད-ཀྱི-ཆོས	impediments
བར-དོ	bardo
བར-དོའི-སྲིད-པ	bardo existence
བཅད-པ	 preclusion|preclude 
བཅད-ཤེས	subsequent cognition
བཅས-པའི-ཁ-ན-མ-ཐོ-བ	 prohibited uncommendable action|prohibited unspeakable action 
བཅོམ	devastate
བཅོམ-ལྡན-འདས	Vanquishing Master Surpassing All
བཅོས-མ	contrived
བཅོས-མེད	uncontrived
བདག	 soul|impossible "soul" 
བདག-འབྲས	dominating result
བདག-འཇུག	self-initiation
བདག-བསྐྱེད	self-generation
བདག-གཞན-བརྗེ-པ	exchanging self and others
བདག-གཞན-མཉམ-བརྗེ	equalizing and exchanging self and others
བདག-གཞན-མཉམ-པ	equalizing self and others
བདག-མེད	lack of an impossible "soul"
བདག-ཉིད	identity-nature
བདག-རྐེན	dominating condition
བདག-ཏུ-སྨྲ-བ	asserting one's identity
བདེ-འགྲོ	better rebirth states
བདེ-འགྲོ-གསུམ	three better rebirth sates
བདེ-བ	 feeling of happiness | happiness|blissful awareness 
བདེ-བ-ཆེན-པོ	greatly blissful awareness
བདེ-བ-ཆེན-པོའི-སྐུ	 corpus of great bliss of a buddha|Corpus of Great Bliss 
བདེ-བར-གཤེགས-པ	Blissfully Gone One
བདེན-འཛིན	grasping for truly established existence
བདེན-པ	being true to one's word
བདེན-པ-གཉིས	two truths
བདེན-པར-གྲུབ-པ	 true findable existence | true unimputed existence|true existence 
བདེན-སྣང	appearance-making of true existence
བདུད	demonic force
བྷ-གའི-དཀྱིལ-འཁོར	mandala of a womb
བཀའ-འགྱུར	Kangyur
བཀའ-བརྒྱུད	Kagyu
བཀའ-བརྒྱུད-པ	Kagyupa
བཀའ-གདམས	Kadam
བཀའ-གདམས-པ	Kadampa
བཀའ-གདམས-པ-དགེ-བཤེས	Kadampa Geshe
བཀའ-མ-རིང-བརྒྱུད	distant lineage of the enlightening words of the Buddha
བླ	 Sublime|life spirit 
བླ-མེད-རྣལ-འབྱོར	anuttarayoga tantra
བློ	 intellect|attitude 
བློ-ཆོས-སུ-འགྲོ-བ	having the mind go toward the Dharma
བློ-བླངས	three-dimensional mandala
བློ-གྲོས	intelligence
བློ-ལྡོག-རྣམ-བཞི	four thoughts that turn the mind toward the Dharma
བློ-རིག	ways of knowing
བློ-སྦྱོང	 lojong|attitude-training 
བློའི-གཞན-སེལ	mental exclusions of something else
བློས-བྱས	intellectually derived
བོན	Bon
བོན-པོ	Bonpo
བྲལ-འབྲས	result that is a state of being parted
བྲལ-བ	parting
བརྡ	label
བརྡར-བཏགས-པའི-ཆོས-དཀོན-མཆོག	nominal Dharma Gem
བརྡར-བཏགས-པའི-དགེ-འདུན-དཀོན-མཆོག	nominal Sangha Gem
བརྡར-བཏགས-པའི-དཀོན-མཆོག	nominal gem
བརྡར-བཏགས-པའི-སངས-རྒྱས-དཀོན-མཆོག	nominal Buddha Gem
བརྣབ-སེམས	covetousness
བརྟེན	something that is supported by something else
བརྟེན-པའི-དཀྱིལ-འཁོར	supported mandala
བརྩེ-བ	loving-kindness
བརྩོན-འགྲུས	 perseverance|joyful perseverance 
བརྟུལ-ཞུགས	tamed behavior
བསམ-གཏན	mental stability
བསམ-གཏན-དང-པོའི-དངོས-གཞི	actual state of the first level of mental constancey
བསམ-གཏན-གྱི-དཀྱིལ-འཁོར	mandala of mental stability
བསམ-པ	 sincerity|motivating mental framework 
བསམ-པའི-ལས	urged impulse
བསྡུ-བ-ལས-འབྱུང-བའི-བསླབས-བྱ	training specified in "The All-Inclusive Text"
བསྡུད-པ-ལས-གྱུར-པའི-གཟུགས	forms of physical phenomena that make up other things by amassing together
བསྡུས-གརབ༹	set theory
བསྒྲིབས-པའི-ལུང-མ-བསྟན	obstructive unspecified phenomenon
བསྒྲུབ-བྱེད-ཀྱི-ཡན-ལག	causal links that actualize
བཤེས-གཉེན-བསྟེན-པ	relating to a spiritual mentor in a healthy manner
བསྐང-གསོ	fulfill and restore ritual
བསྐྱེད-པའི-སྐྱེས-བུ-བྱེད-པའི-འབྲས-བུ	man-made result that is produced
བསྐྱེད-རིམ	generation stage
བསྔོ-བ	dedication prayer
བསྙེན-ཆེན	great approximation retreat
བསྙེན-སྒྲུབ	approximate and actualize oneself as a Buddha-figure
བསོད-ནམས	positive karmic force
བསོད-ནམས-གྱི-ཚོགས	enlightenment-building network of positive force
བསོད-ནམས-ཀྱི-ཚོགས	network of positive force
བཏགས-ཆོས	referent object
བཏགས-དོན	referent thing
བཏགས-ཡོད	imputably knowable phenomenon
བཏང-སྙོམས	 neutral feeling|equanimity 
བཏང-སྙོམས-ཙམ	mere equanimity
བུད-རྙེད-ཐོབ-གསུམ	mature attitudes toward being expelled, finding and attaining
བུམ-དབང	vase empowerment
བྱ-གྲུབ-ཡེ-ཤེས	 awareness, accomplishing|accomplishing deep awareness 
