འབའ-འཛར	(PH) vajra [arch. spelling]
འབག-མ	(PH) mask
འབགས-རེངས	(PH) riffraff
འབོགས-ཆོ-ག	(PH) rites for deriving the most success
འབོགས-ཆོག	(PH) rites for deriving the most success
འབྲ-གོ-ཅན	(PH) Kharjūrika
འབྲལ-བའི-སྡུག-བསྔལ	(PH) suffering of self-denial
འབྲལ-མེད	(PH) continuously; inseparably; without separation
འབྲས-བུ-གཅིག-པ	(PH) sameness of effect
འབྲོག-ས	(PH) nomadic area
འབུམ-ཕྲག-ཞེ-ལྔ	(PH) four million five hundred thousand
འབུམ-ཚོ	(PH) hundreds of thousands
འབུར-པོ	(PH) protuberance
འབྱིན-པ-པོ	(PH) creator
འབྱུང-འཇུག	(PH) emerging and entering; inhalation and exhalation
འབྱུང-བའི-གནས	(PH) source
འཆབ	(PH) concealment
འཆད-རྩོད-རྩོམ-པ	(PH) explication; debate; and composition
འཆག-ཁང	(PH) outhouse; latrine
འཆར-བྱེད	(PH) [King] Udayana [of the Vatsa Kingdom]
འཆི-བའི-ཆོས-ཅན	(PH) being mortal; subject to death
འཆི-མེད-ལྗོན-ཤིང	(PH) tree of immortality
འཆི-ཚད	(PH) dying
འདབ-བརྒྱ	(PH) the hundred-petaled (lotus)
འདབས-ན	(PH) nearby
འདམ	(PH) mud
འདས	(PH) past [phenomena]; [phenomena that exist in the] past
འདས-ལམ-མཉམ-བཞག	(PH) meditative equipoise of a supramundane path
འདས-པའི-རྐྱེན	(PH) past tense
འདི-འདྲ-ཞིག	(PH) like
འདི-འོག-མ	(PH) later sections of this [book]
འདི-ཀོ	(PH) all of these
འདོད-བྱ	(PH) desired objective; that which one wishes for
འདོད-ཆགས-ཚུལ-བཞི	(PH) four modes of desirous attachment
འདོད-ལྷ	(PH) god of the Desire Realm
འདོད-ཉོན-གྱི-སུམ-གཉིས	(PH) two of the three sets of the afflictions of the desire realm
འདོད-པའི-ལོངས-སྤྱོད-ལྔ	(PH) five sensual enjoyments of desire
འདོད-པའི-ས	(PH) the level of the desire realm
འདོད-པར-བྱ-བ	(PH) object of desire; that which one wishes for
འདོད-སེམས-ཅན	(PH) desirous sentient beings
འདོད-ཚུལ	(PH) mode of asserting; mode of assertion
འདོགས-ཅན	(PH) subscribed
འདོམས	(PH) genitalia
འདྲེ-བགེགས	(PH) [type of demon]
འདྲེའི-གཟན	(PH) flesh-eating demons
འདྲེག-མཁན	(PH) barber
འདུ-མ-བགྱིས	(PH) uncompounded
འདུ-མ-བགྱིས-པ	(PH) uncompounded
འདུ-ཤེས-ཕུང-པོ	(PH) aggregate of discrimination
འདུག-པའི-གནས	(PH) a place
འདུལ-གྲྭ	(PH) training center
འདུས-བསགས	(PH) collections and aggregations
འཛམ-བུའི-ཆུ-གསེར-མ	(PH) River Gold of Jambudvīpa
འཛམ-བུའི-གསེར-སྦྱངས	(PH) pure River Gold of Jambudvīpa
འཛིན-མ	(PH) field; ground; earth
འཛིན-པ-ཕྱོགས-གཅིག-པའི-ཏིང-ངེ-འཛིན	(PH) a meditative stabilization of partiality with respect to apprehenders [of subjects]
འཛིན-སྟངས	(PH) tying wrists
འཛུམ-དཀར	(PH) brilliant countenance
འཛུམ-པའི-བཞིན	(PH) a smiling face
འཛུམ-ཕྲེང	(PH) garland of blossoms
འགག-མེད	(PH) ceaseless; without hesitation
འགག-པ-མེད་	(PH) ceaseless; without hesitation
འགག-པ-མེད-པ	(PH) ceaseless; without hesitation
འགགས-མེད	(PH) ceaseless; without hesitation
འགལ-བ-ལྟར-སྣང-ལྔ	(PH) five facsimilies of contradiction
འགལ-བའི-ཚིག	(PH) contradictory words
འགན-ཁུར-གྱི-དགེ-རྒན	(PH) teacher who bears responsibility
འགངས	(PH) importance
འགོག-པ-མཐོང-སྤང-ཉོན-མོངས-བཅུ	(PH) ten afflictions to be abandoned by the path of seeing [related to the Noble Truth of] Cessation
འགྲམ	(PH) banks; shores
འགྲམ-པ	(PH) race
འགྲན-སེམས	(PH) competitiveness
འགྲེལ-བཤད-ཚིག-གསལ	(PH) [Dharmamitra's] Clear Words; An Explanatory Commentary [on (Maitreya's) 'Ornament for Clear Realization"]
འགྲིག-ལམ	(PH) regulation; rule
འགྲིམས-འགྲུལ	(PH) transport
འགྲོ-བ	(PH) transmigration; rebirth
འགྲོ-བ-འདུལ-བ	(PH) Sakalajagadvinaya
འགྲོ-བ-ཐམས-ཅད-འདུལ-བ	(PH) Sakalajagadvinaya
འགྲོ-ལྡིང-པ	(PH) Dravidian
འགྲོ-སྐྱབས	(PH) refuge of transmigrators
འགྲོས	(PH) progression; motion
འགྱོད	(PH) contrition
འགྱུར-གྱི-ཕྱག	(PH) translator's homage
འགྱུར-ཚོད	(PH) length of translation
འཇམ-དཔལ-ཚེ-བདག-ནག-པོ	(PH) Black Manjuśrī (?)
འཇམ-མཉེན	(PH) soft and slender
འཇམ-རྩུབ	(PH) smooth [and/or] coarse
འཇིག-རྟེན-འདུས-པ	(PH) Consummation of the Worlds [name of the Jain place of liberation]
འཇིག-རྟེན-དབང	(PH) Lokeśvara
འཇིག-རྟེན-དབང-ཕྱུག	(PH) Lokeśvara
འཇིག-རྟེན-གྱི-ཁམས-མི-མཇེད	(PH) the [three thousand-fold] Saha world-system
འཇིག-རྟེན-གྱི-མངོན-སུམ-ཚད-མ	(PH) valid worldly perception
འཇིག-རྟེན-ལས-འདས-པའི-མཉམ-བཞག	(PH) supramundane meditative equipoise
འཇིག-རྟེན-ལས-འདས-པའི-མཉམ-བཞག-རྣམ-པར-མི-རྟོག-པའི-བློ	(PH) non-conceptual awarenesses of supramundane meditative equipoise
འཇིག-རྟེན-པ-དང-ཉན-ཐོས-དང-རང-སངས-རྒྱས	(PH) worldly beings; Śrāvakas; and Pratyekabuddhas
འཇིག-རྟེན-པའི-དགེ-བ	(PH) worldly virtues
འཇིག-རྟེན-པའི-མཉམ-བཞག-བསམ-གཏན-གཟུགས-མེད	(PH) [four] concentrations and [four] formless absorptions of worldly meditative equipoise
འཇིག-རྟེན-པའི-རྗེས-ཐོབ	(PH) mundane states subsequent to meditative equipoise
འཇིགས-པའི-མུན-ནག	(PH) terrifying black darkness
འཇིགས-རྟེན-གྱི-ཁམས-མི-འདྲ-བ	(PH) different world-systems
འཇིགས-རྟེན-གྱི-ཁམས-མི-འདྲ-བ-བརྒྱ	(PH) one hundred different worldly realms
འཇིགས-རྟེན-ལས-འདས-པར-བསྟོད-པ	(PH) Nāgārjuna’s Praise of the Supramundane (lokātītastava)
འཇོ-སྒེག-རྡོ-རྗེ	(PH) Līlāvajra / Vilāsavajra
འཇུག-པ-གཟུང-རྟོག	(PH) conception of the true existence of objects to be engaged in [by Bodhisattvas]
འཇུག-པ-གཟུང-རྟོག-དགུ	(PH) the nine conceptions of the true existence of objects to be engaged in [by Bodhisattvas]
འཇུར-གྱིས	(PH) suddenly
འཁོན-འཛིན	(PH) resentment
འཁོན-ཅན	(PH) full of resentment
འཁོར-འདུས-ཐེབས	(PH) assembly
འཁོར-བ	(PH) cyclic existence
འཁོར-བའི-ཉེས-པ	(PH) faults of samsara
འཁོར-དང-ལོངས-སྤྱོད	(PH) attendants and wealth
འཁོར-དེ-ཉིད	(PH) that very assembly
འཁོར-གྱི-གླིང	(PH) surrounding continents
འཁོར-ལོ	(PH) wheel; channel wheel
འཁོར-ལོ-བསྒྱུར-བ	(PH) wheel [turning] monarch
འཁོར-ལོ-ལྔ	(PH) five cakras
འཁོར-ལོ-སྒྱུར-བ	(PH) wheel [turning] monarch
འཁོར-ལོ-སྒྱུར-བའི-རྒྱལ-པོ	(PH) wheel [turning] monarch
འཁོར-མོ-འཇིག	(PH) Varanasi
