འབྲས-བུ	Definition: (1) that which is produced; (2) that which benefits
འབྲེལ-པ	Definition: (1) it is different from that; and (2) it must cease by the power of that ceasing
འདུས-བྱས	(1) disintegrating; or: (2) suitable as the three: production, cessation, and abiding
འདུས-མ-བྱས	Definition: that which is non-disintegrating
འདུས-མ-བྱས-ཀྱི-ཆོས	Definitions: (1) non-disintegrating phenomenon; or: (2) a phenomenon of which the three--production, cessation, and abiding--are not possible
འགལ-བ	Def.: those which are different and phenomene of which a common locus is not possible
འཁྲུལ-ཤེས	Def.: a knower that is mistaken with respect to its appearing object
བ-གླང	Definition:
བཅད-ཤེས	Definition: a knower which is not a direct perceiver and which realizes what has already been realized by the former direct perceiver inducing it
བདག-གཅིག-འབྲེལ	Definition: (1) it is different from that; and (2) there is an established relation from the point of view of being of one essence with that
བེམ-པོ	Definition: atomically established (aṇu-siddha)
བློ	Definition: knowing; knowledge; {T} a knower; that which knows
བློའི-གཞན-སེལ	Definition: a common locus of being an other-eliminator that is an affirming negative and being superimposed by thought
བརྒྱུད-རྒྱུ	Def.: indirect producer
བརྩོན-འགྲུས	enthusiasm for virtue
བསམ-གཏན-དང-པོའི-དངོས-གཞི-ཙམ	Definition: (1) it is an absorption of an actual concentration and (2) it abides in a type of a level of neutral feeling
བཏགས-ཡོད	Definition: a phenomenon whose apprehension must depend upon apprehending another phenomenon
བུམ-པ	Definition: bulbous, flat bottomed, and able to perform the function of holding water [from Dharmakīrti]
བུམ-པའི-བློའི-གཞན-སེལ	Definition: a common locus of being an affirming negative other-eliminator of pot and being imputed by thought
བུམ-པའི-བྱེད-རྒྱུ	Definition: an observed common locus of being a different substantial entity from pot and also not serving as a hindrance to pot's production
བུམ-པའི-དོན-སྤྱི	Definition: a factor of superimposition that, while not being pot, appears as like pot to a conceptual consciousness apprehending pot
བྱང-སེམས-འཕགས-པའི-ས	Definition: a Bodhisattva Superior's exalted knower that is conjoined with the wisdom directly realizing emptiness and with great compassion
བྱང-སེམས-ཀྱི-ལམ	Definition: a Bodhisattva's clear realizer that serves as an opener of the passageway that provides the opportunity for progressing to the Mahāyāna liberation
བྱང-སེམས-སོ-སྐྱེའི-ལམ	Definition: Bodhisattva exalted knower that is contained within the [two] grounds of belief [the path of accumulation and the path of preparation]
བྱས-པ	Definition: that which has been created/produced
བྱེ-བྲག	Definition: a phenomenon that has the type which engages it as a pervader; a phenomenon which has a type by which it is subsumed {GD:269}
ཆོས	bearing its own entity
ཆོས-ཀྱི-བདག-མེད-ཕྲ-མོ	Definition: all phemomena are empty of being established from the side of their own uncommon mode of subsistence in terms of not being posited by the force of appearing to a non-defective mind
ཆོས-ཀྱི-བདག-མེད-རགས-པ	Definitions: (1) emptiness of being established as an external object; or: (2) emptiness of subject and object being different substantial entities{BJ}
ཆུ	Definition: wet and moistening
ཅུང-ཟད-ལྐོག-གྱུར	Definition: Knowledge and Awareness: a phenomenon which an ordinary being must definitely realize initially in dependence upon a sign by the power of the fact
དབང-མངོན	Definition: an awareness which is non-mistaken and free from conceptuality, and is produced from its own uncommon empowering condition, a physical sense-power{BR}
དབང-ཤེས	Definition: an awareness which arises in dependence upon its own uncommon empowering condition, a physical sense-power{BR}
དེ-བྱུང-འབྲེལ	Definition: (1) it is different from that; and (2) it arises from that
དེ-རང-བདག-གཅིག-འབྲེལ	Definition: (1) it is different from that; and (2) that is established as connected from the point of view of being one essence (?)
དགག-པ	Def.: an object realized by the conceptual consciousness apprehending it in the manner of an explicit elimination of its object of negation.
དགག-པ-དངོས-སུ-རྟོགས-པའི-ཚད-མ	Def.: a knower newly incontrovertible with respect to a negative phenomenon upon the aspect of a negative phenomenon appearing [to it]
དགེ-བ	Def.: that which is (1) indicated [as a virtue] and (2) abides in a type bringing forth happiness as a fruition which is its own effect
དངོས-འགལ	Def.: those which are such that (1) the exclusion [that an existent is one of them] includes [that it is the other] and (2) a third possibility that is both or not both [of them] is eliminated
དངོས-མེད-ཀྱི-ཆོས	Def.: a phenomenon that is empty of being able to perform a function
དངོས-པོ	Def.: that which is able to perform a function
དངོས-པོའི-འབྲས-བུ	Def.: that which is produced by thing
དངོས-པོའི-བརྒྱུད-འབྲས	Def.: that which is indirectly produced by thing
དངོས-པོའི-བརྒྱུད-རྒྱུ	Def.: indirect producer of thing
དངོས-པོའི-བྱེ-བྲག	Def.: it is a thing; it is of one nature with functioning thing; and there are many established common loci which are not it but are functioning things
དངོས-པོའི-དངོས-འབྲས	Def.: that which is directly produced by thing
དངོས-པོའི-དངོས-རྒྱུ	Def.: direct producer of thing
དངོས-པོའི-ལྷན-ཅིག-བྱེད-རྐྱེན	Def.: that which is a main producer of thing as a substantial entity but not as a continuation of its own substantial entity
དངོས-པོའི-མཚན-ཉིད	Def.: the triply qualified substantial existent of thing
དངོས-པོའི-ཉེར-ལེན	Def.: main producer of thing as a continuation of its substantial entity
དངོས-པོའི-རྒྱུ	Def.: producer of thing
དངོས-རྒྱུ	Def.: direct producer
དངོས-སྟོབས-རྗེས-དཔག,-དངོས-སྟོབས-ཀྱི-རྗེས-དཔག	Def.: a determinative knower which--depending upon its basis, a correct sign by the power of the fact--is incontrovertible with respect to its object of comprehension, a slightly hidden phenomenon
དོན-དམ-བདེན-པ	Definition: (in the Sūtra School) a phenomenon that is ultimately able to perform a function [thus phenomena such as pots, etc. are ultimate truths in this system]
དོན-གཅིག	Definition: (1) a possible common locus; (2) the eight doors of pervasion are established
དོན-གྱི-གཞན-སེལ	Definition: an observed common locus between: (1) being an other-eliminator that is an affirming negative; (2) and being ultimately able to perform a function
དོན-རང-མཚན-གྱི-གཞན-སེལ	Definition: an observed common locus between: (1) being an other-eliminator that is an affirming negative; (2) and being ultimately able to perform a function
དོན-སྤྱི	Definition: that factor of super-imposition that is the appearance to the conceptual cognition [of something] as a pot despite its not being a pot {GD:399}
དྲིའི-སྐྱེ-མཆེད	Definition: object experienced by a nose consciousness
དུ-བའི-དངོས-རྒྱུ	Definition: direct producer of smoke
གང-ཟག	Def.: a being imputed in dependence upon any among the five aggregates
གང-ཟག-གི-བདག-མེད-ཕྲ-མོ	Def.: In non-Consequentialist schools: a person's emptiness of being a self-sufficient substantial entity
གང-ཟག-གི-བདག-མེད-རགས-པ	Def.: In non-Consequentialist schools: a person's emptiness of being permanent, unitary, and autonomous
གཅིག	Definition: phenomena that are not separate
གྲགས-པའི-རྗེས-དཔག	Def.: a determinative knower that in dependence on its basis, a correct sign of renown, is incontrovertible with regard to its object of comprehension, a terminological suitability
གྲུབ-བདེ-གཅིག	Def.: those which are established simultaneously, abide simultaneously, and disintegrate simultaneously
གྲུབ-མཐའ	Contextual etymology: A tenet [literally, an established conclusion] is a meaning that has been decided upon and established or promised in reliance upon scripture and/or reasoning and which, from the perspective of one's mind, will not be forsaken for so
གཞལ-བྱ	Definition: object of comprehension by a valid cognizer
གཞི-གྲུབ	Def.: established by valid cognition (or: established by a valid cognizer); GCT has: tshad mas dmigs pa, observed by valid cognition]
གཟུགས	Definiton: suitable as form
གཟུགས-འཛིན-དབང-མངོན	Def.: an awareness which is non-mistaken and free from conceptuality, which is produced from its own uncommon empowering conditions, an eye sense-power, and an observed object condition, a form{BR}
གཟུགས-ཀྱི-སྐྱེ-མཆེད	Definition: apprehended object of an eye consciousness
ཀ-བ	Def.: That which can perform the function of supporting a cross-piece/rafter.
ཀུན-བརྟགས	Def.: that which is (1) any of the three: imputational nature, other-powered nature, or thoroughly established nature and (2) not a final object of observation of purification and not able to perform a function
ཀུན-རྫོབ-བདེན-པ	Def. in the Sūtra School Following Reasoning: a phenomenon that is not ultimately able to perform a function
ཀུན-རྫོབ-ཀྱི-བདེན-པ	Def. in the Sūtra School Following Reasoning: a phenomenon that is not ultimately able to perform a function
ལམ	Definition: an exalted knower of one who has entered the path, which provides an opportunity for progressing toward its own effect, enlightenment
ལྕེ-ཤེས	Definition: an awareness that arises in dependence upon its own uncommon empowering condition, a tongue sense power, and its observed object condition, a taste
ལྕེའི-དབང-པོ	Definition: clear inner form qualified by acting as the uncommon empowering condition of its own effect, an eye-consciousness{D1}
ལྡན-མིན-འདུ-བྱེད	Definitions: (1) a thing that is neither matter nor consciousness; (2) a thing that is neither form nor consciousness; (3) a compounded phenomenon that is neither matter nor consciousness
ལྡོག-ཆོས-ཕུང-སུམ-ཙམ-པོ-བ	Def.: an observed common locus of: (1) its being an established base; (2) its not being itself; (3) not-it being it; and (4) its isolate being a mere third possibility of isolate phenomenon
ལྡོག-ཆོས-ཕུང-སུམ-ཙམ-པོ-བའི-རྗེས-མཐུན	Definition: an observed common locus between: (1) its being an established base; (2) not it being it; (3) it being not it; and (4) its isolate not being contradictory with a subsequent concordance that is a mere third possibility of isolate phenomenon
ལྡོག-པ-རིགས-གཅིག	Definition: phenomenon which, from merely being seen by whatever person focuses his/her mind, is able to naturally produce an awareness thinking, "this and that are similar"
ལྷན-ཅིག-བྱུང-བའི-རྒྱུ	Def: Those which are observed as common loci of being different substantial entities [produced] mutually at the same time and not acting as an obstacle to the production of each other.
ལྷན-ཅིག-མི-གནས-འགལ	Def: discordant abiding from the viewpoint of the continuum of the one being being the eliminator of the continuum of the other
ལྗོན-ཤིང	Definition: having branches and leaves
ལྐོག-གྱུར	Def.: (from Collected Topics): Object to be realized in a hidden manner by the conceptual consciousness apprehending it{TCT}
ལོག-ཤེས	Definition: a knower which is mistaken with respect to its object of engagement
ལུས-ཀྱི-དབང-པོ	Definition: clear inner form qualified by being the uncommon empowering condition of its own effect, an eye-consciousness
ལུས-ཤེས	Definition: an awareness whose arising depends on its own uncommon empowering condition, a physical sense power and an observed object condition, a tangible object
མ-འཁྲུལ-བའི-ཤེས-པ	Definition: an awareness that is non-mistaken with respect to its appearing object
