འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
འབྲས-བུ	for synonyms and examples see: {བྱས་པ}
འབྲས-ཆན	get ex from Ship 62a SW added this record
འབྲས-སྤུངས	The two principle colleges are Go-mang (sgo mang) and Lo-sel-ling (blo gsal gling) ?(PH) Comment: "Rice Mound," said to be called this because its founder Jam-y#ang-chö-jay announced, "I will build a monastic university like a mound of rice and retreat hermitage above it for myself shaped like a mouse ready to eat the rice, the latter being called Mouse Hermitage." (PH) add meaning / note about locale of Kalacakra teachings .... DhAnyakaTaka = 'bras spungs?
འབྲས-བུ-ལྔ	see: {འབྲས་བུ}
འབྲས-བུའི-ཐེག-པ	this is another name for tantra, because a tantric practitioner takes the effect state, Buddhahood, as the basis of her or his practice (T)
འབྲེ-པ	Thumi, p. 180, has: bre / 'bre / bres / 'bres
འབྲེལ	see: {འབྲེལ་པ}
འབྲེལ-བ-བརྟག-པའི-རབ-ཏུ-བྱེད-པ	one of the Seven Treatises on Prime Cognition
འབྲེལ-བ-མེད-པའི-དོན	(PH) added meanings "unrelated; meaningless" based on example
འབྲེས	See " 'bre pa "
འབུལ	Thumi, p.160, has: dbul / 'bul / phul / 'buld (T)
འབྱོར-བ	JH: ck ex 1 eng (SW)
འབྱུང-གྱུར	see: {འབྱུང་འགྱུར་གྱི་རེག་བྱ}
འབྱུང-འགྱུར-གྱི-རེག-བྱ	one of the two divisions of tangible object (reg bya, spraSTavya); the other is: tangible object which is an element ('byung bar gyur pa'i reg bya)
འབྱུང-བ-ཆེན-པོ-བཞི-པོ-དག	see: {འབྱུང་བར་གྱུར་པའི་རེག་བྱ}
འབྱུང-བར-གྱུར-པའི-རེག-བྱ	one of the two divisions of tangible object (reg bya, spraSTavya); the other is: tangible object that is arisen from elements ('byung 'gyur gyi reg bya)
འཆའ	get examples: phyag rgya bca'; rkang pa sems dpa'i skyil krung du bca'; khrims su bcas pa. Same as added to "bca' ba" and "bcas pa".
འཆབ-པ	concealment; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
འཆར	Check tenses (T)
འཆིང-བ	Check tenses, none match entry? (T)
འདའ	Check tenses-incomplete? (T)
འདས	Check tenses-incomplete? (T)
འདས-སྨྲ-བ	a Lesser Vehicle sub-school ??? (T)
འདོད-ཆགས	rAga; Comment: This is one of the six root afflictions (rtsa nyon, mUlakleza): desire ('dod chogs, rAga); (2) anger (khong khro, pratigha); (3) pride (nga rgyal, mAna); (4) ignorance (ma rig pa, avidyA); (5) doubt (the tshom, vicikitsA); (6) afflicted view (lta ba nyon mongs can, kliSTa-dRSTi).
