འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
འལ-ལེ-འོལ-ལེ	vague/ imprecise
འབབས-པ	{དབབ་པ} to fall/ come down
འབད-མེད	effortless
འབད-པ	to strive/ make effort
འབད-རྩོལ	{འབད་རྩོལ་བྱེད་པ} to exert (oneself); (to make/ be involved in) concerted effort. isc. concerted effort/ struggle; to make effort/ try to develop; isc. exertion
འབད-མེད-པར	effortlessly
འབག	mask; {འདྲ་འབག} - likeness
འབར-འཛག	(meditative process of) blazing and trickling down
འབར-བ	to blaze/ burn; blazing; (to be) brilliantly radiant/ resplendent - [one of the nine moods of dance (form)]
འབེབས-པ	{བབས་པ} to come (down). {ཕོབ} to send/ bring down; to cause to fall
འབིག-པ	to penetrate
འབོད-པ	to coerce
འབོག-པ	{འབོགས་པ} to fall down in a fit/ have a seizure
འབོགས-པ	{འབོག་པ} to fall down in a fit/ have a seizure
འབོལ-ལེ-བ	ebullient
འབྲལ-བ	to be separated from/ divorced from/ free of; freedom from . . . ; to transcend
འབྲས-བུ	result(ant factor)/ effect; fruition/ goal (aspect) (of)
འབྲས-ཆོས	resultant/ fruition state factors
འབྲས-ཆོས-ལྔ	five resultant/ fruition state factors
འབྲས-བུ-ལམ-བྱེད	forging the path as/ through/ with the fruition
འབྲས-བུའི-རྒྱུད	tantra as fruition/ fruition aspect of tantra
འབྲས-བུའི-ཐེག-པ	result-oriented approach
འབྲེལ-བ	to pertain to/ be connected/ joined/ related; connection/ connectedness
འབྲེལ-ཐག	continuity
འབྲིམ-པ	to distribute/ pass around
འབྲིང	in the average case . . .
འབྲིང-བ	{འབྲིང་པོ} intermediate (level of acumen/ intensity)
འབྲིང-པོ	{འབྲིང་བ} intermediate (level of acumen/ intensity)
འབུད-པ	to do away with/ leave behind; to burst forth/ emerge; isc. to cast off
འབྱམ-པ	{འབྱམས་པ} to become lost (in)/ diffuse/ spread out
འབྱམས	. . . 'byams - vast range of . . .
འབྱམས-པ	to become lost (in)/ diffuse/ spread out
འབྱམས-ཀླས-པ	(to be) infinite (in) extent; to extend freely/ vastly; to be deeply/ thoroughly immersed/ absorbed in . . . ; to expand; expansiveness
འབྱེད-མེད	inalienable/ undifferentiated (from the ground of being); nonanalytical; undifferentiated/ indivisible; cannot be fragmented
འབྱེད-པ	{འབྱེད་པ་།་ཕྱེས་པ་།་ཕྱེད་པ།་དབྱེ་བ} to differentiate/ distinguish/ analyze/ divide; analysis/ differentiation; isc. to distil
འབྱེད-མེད-ཤེས-རབ	(one of the shes rab lnga) inalienable sublime knowing/ wisdom/ transcendent knowlege; profound knowing/ wisdom/ transcendent knowledge that cannot be fragmented
འབྱོན-པ	to approach/ come/ appear
འབྱོང-བ	to refine/ train/ develop
འབྱུང-འཇུག	occurrence and engagement (of thought)
འབྱུང-བ	(las) 'byung ba - to come about due to . . .. element(al quality); to occur/ happen/ ensue; to come into being/ come about/ ensue/ lead to/ come from/ issue; to account for/ ensure; to be operant (as); isc. to pertain
འབྱུང-བའི	from which . . . arise(s)
འབྱུང-གནས	origin
འབྱུང-ཁུངས	{འབྱུང་བའི་ཁུངས} origin from which (something) arises/ comes
འབྱུང-རྐྱེན	isc. perpetuating force
འབྱུང-བའི-ཁུངས	origin from which (something) arises/ comes
འབྱུང-བ-རིམ-བརྩེགས	progressive stacking of elements (one above the other)
འབྱུང-གནས-འགྲོ-གསུམ	three phases of thought/ mind—occurrence, duration, cessation
འབྱུང-འཇུག-རེ-དོགས-དང-བྲལ-བ	free of the occurrence or engagement of thoughts, free of hope or fear
འབྱུང-འཇུག-གནས-གསུམ	three phases of thought—occurrence, engagement, rest
འཆའ-བ	{བཅས་པ} to set up/ formulate/ base (on)
འཆབ-པ	concealment; to conceal
འཆད-པ	{བཤད་པ} to explain/ set forth
འཆམ	ritual dance
འཆམ-དཔོན	master of dance
འཆར-བ	{ཤར་བ} to arise; {ཤར་བ} to arise [emphasis on "inner" arising of thoughts versus "outer" manifesting; of sensory appearances]; isc. to become apparent/ happen/ occur; isc. to experience/ be(come) aware of/ be(come) conscious of
འཆར-གཞི	[in "ultimate" sense of dharmakaya] ground for all that arises/ for the arising of things/ from which things arise [in "relative" sense of sambhogakaya and nirmanakaya] a ground from which things arise
འཆར-སྒོ	avenue for the arising/ expression (of . . . )
འཆར-ཚུལ	manner/ way/ mode/ process of arising; the way in which . . . arises; isc. things arise such that they . . .
འཆར-བྱེད-བརྒྱད	eight modes/ ways that allow [spontaneous presence] to arise
འཆར-ཚུལ-བརྒྱད	eight ways/ modes of [spontaneous presence] arising
འཆི-བ	death; to die; mortality
འཆི-བདག	Lord of Death
འཆི-ཀ	point of death; dying process
འཆི-མེད	deathless/ immortal
འཆི-སྲིད	death as a phase of conditioned existence
འཆི-མེད-ཙེ-ཡི-དངོས-གྲུབ	siddhi/ spiritual attainment of longevity and immortality
འཆི-བདག-གི-བདུད	mara of the "lord of death"
འཆི-ཀའི-བར-དོ	interval/ intermediate state of dying process
འཆི-བ-མི-རྟག-པ	death and impermanence
འཆི-བ-མེད-པ	deathless/ immortal
འཆིང-བ	{བཅིང་བ} to embrace (within)/ subsume/ encompass/ contain; to bind/ fetter/ restrict/ confine; isc. to (be) constrain(ed); isc. to (be) epitomize(d by)
འཆིང-ཞེན	constricting fixations; isc. fixating constraints
འཆོལ-བ	{གསང་སྒོ་འཆོལ་བ} to violate the bounds of secrecy. to make errors (in judgement); to be comprised (of). {བཅོལ་བ} to enjoin/ entrust/ commission; isc. to require (of)
འཆོས-པ	{བཅོས་པ} to contrive; to fashion/ tailor/ mold/ shape; to concoct/ fabricate/ compromise; isc. to improve on
འཆུག-མེད	unerring
འཆུག-པ	to err/ blunder/ confuse/ deviate
འཆུགས-པ	to err/ blunder/ confuse/ deviate
འདའ-བ	. . . (las) 'da' ba/ 'das pa - to transcend/ go beyond/ be beyond/ fall outside of/ escape/ be above . . . ; isc. to fall short of . . . ; isc. to lose/ stray from [a context]
འདའ-དཀའ	difficult to contradict
འདའ-དཀའ-བ	difficult to contradict
འདབ-ན	. . . (kyi) 'dab na - alongside . . .
འདམ-པ	mire/ swamp
འདེ-བ	{ལྡེ་བ} to warm/ sun oneself
འདེད-པ	{དེད་པ}to banish/ eliminate; to follow/ pursue/ chase; isc. to trace back
འདེམ-ཀ	choice; possible alternative
འདེམ-ཀ-མེད-པར	without choice/ any alternative; inevitably
འདེངས-པ	{དེངས་པ} to disperse; to vanish/ disappear
འདི-ལྟར	as . . . do; like this; thus; in this way . . . ; in any way; such as . . . ; is such that . . . ; ="as/ see below" (cf. de ltar)
འདི-ལྟ-སྟེ	it is thus: . . .
འདི-ཡིན-གྱི	being this or that
འདི-ཞེས-མེད	does not exist as some "thing"
འདི-ཞེས-མི-མཚོན-པ	cannot be characterized as/ to be some "thing"
འདི-ལྟར-སྣང-བའི	(that) appear as it does/ they do
འདོད-འཇོ	providing/ yielding all that is wished for/ desirable
འདོད-ཆགས	desire-attachment/ desire and attachment; sexual desire/ passion
འདོད-དགུ	all desirables/ everything desirable
འདོད-དོན	{འདོད་པའི་དོན} desired aim/ goal
འདོད-པ	to hold/ maintain/ posit (i.e., philosophically)/ believe (in); to wish/ desire; desire; (philosopical) supposition/ opinion
འདོད-སྣམ	ledge; {འདོད་ཡོན་གྱི་སྣམ་བུ} stylobate/ projecting ledge (of mansion) for offering goddesses
