འབྲས	own effect
འཆད	1. the Complete Enjoyment Body of which the continuum is not cut even for a moment as long as the sky remains{PGP-101}; 2. a way that explains the thought [of Buddha]
འཆར	1. the meaning has not appeared to the mind; 2. with respect to the non-appearance of other appearances ...{TGP 24}; 3. the unerring mode of illusory-like appearance{MSI 424}
འདུལ-བྱ	special trainees of Guhyasamaja
འདུས	1. not included in the other grounds; 2. when they aggregate they do not touch each other
འཛག-པ	the continuum of the mind of enlightenment descends and drips ...{TGP}
འཛིན	1. thought consciousness conceiving "pot" ; 2. referent object of the conception of self ; 3. a sense direct perceiver apprehending a form ; 4. assumption of Tantric vows ; 5. the conception of true existence/establishment ; 6. the mode of apprehension of the ascertaining consciousness is absorbed in suchness{TGP 28}
འགལ-བ	1. contradictory with [functioning] thing; 2. the main of the objects of meditation of the three lineages are contradictory
འགྲོས	In short, it is asserted that two types directed outward and one type directed inward are produced at one time.
འཇུག	1. manifestly entering into the clear light; 2. although that applies to ...; 3. behave like a child; 4. related as a pervader; 5. they definitely enter from the path of accumulation{PGP 77}; 6. one enters into displaying{PGP 86}
འཇུག-པ	1. at the time of such reference{DASI 561.4}; 2. mistaking as one [what is actually not one, this being] in the context of [practical] application {GD:247}; 3. practical point of view {GD:260}
འཁོན	1. resentment towards leaders; 2. resentment towards friends
འཁོར-གསུམ	1. [You] have asserted three spheres [of self-contradiction]; 2. non-apprehension of the three spheres [of agent, action, and object as when giving a gift or meditating]
འཁྲུལ-བ	mistaken with respect to its appearing object
འཁུམས	listened to MaJjushrI and Mutita {GZ/BG 69a.3}
འཁུར	responsibility of causing them to have happiness
འོད-གསལ	actual clear light
འོས	suitable; the quality of being suitable for realization{LWT 103}
འཕྲད	meeting of sense-power and object{LG}
འཕྲད-པ	one would meet with [the effects of] actions not done [by oneself]{DASI 601.3}
འཕྲུལ	implications forced by reasoning
འཕྱོང	taking up bad states of body jumping like a monkey{PGP}
འཚབ	although the latter translator filled in translations cut in other [texts],{GZ 70a.7}
འཚམས	that this is not merely a case of being forced by reasoning is very clear{T3 81.7}
བབས	one on whom a little wisdom has descended
བད-ཀན	phlegm; great diseases of the assembly of wind, bile, and phlegm
བམ	gam, ngam, dam, nam, bam, mam, 'am, ram, lam, and sam are the separating and connecting particles{Y}
བང-ཆེན	in response to the formal request (?) of the two emissaries {GZ/BG 69a.4}
བར	when one divides [mental direct perceivers indicated on this occasion] there are five, ranging from those apprehending forms to those apprehending tangible objects{BR}
བཅོས-མ-ཡིན-པ	fabricated; That which is fabricated is not its 'mine'. (yattu kRtrimaM na tattasyAtmIyaM) [PP, 263.1]
བདག	How could the world exist in fact, With a nature passed beyond the three times ...? (tarikAlyavyativRttAtmA loka evam kuto 'rthataH) [NPG, vs. 63]
