འབྲས	རང་འབྲས
འཆད	༡.་ནམ་མཁའ་མ་ཟད་ཀྱི་བར་དུ་སྐད་ཅིག་ཀྱང་རྒྱུན་མི་འཆད་པའི་ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ་༏་༢.་དགོང་པ་འཆད་ཚུལ་ཡོད་དེ
འཆར	༡.་དོན་བློ་ལ་མི་འཆར་རོ་༏་༢.་སྣང་བ་གཞན་མི་འཆར་བ་ནི་༏་༣.་སྒྱུ་མ་བཞིན་དུ་འཆར་ཚུལ་ཕྱིན་ཅི་མ་ལོག་པ
འདུལ-བྱ	གསང་བ་འདུས་པའི་ཆེད་དུ་བྱ་བའི་འདུལ་བྱ
འདུས	༡.་ས་གཞན་རྣམས་སུ་མ་འདུས་པ་༏་༢.་འདུས་ཚེ་ཕན་ཚུན་གཅིག་གཅིག་ལ་རེག་པ་མ་ཡིན
འཛག-པ	བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་རྒྱུན་འབབ་པ་དང་འཛག་པ
འཛིན	༡.་བུམ་འཛིན་རྟོག་པ་༏་༢.་བདག་འཛིན་གྱི་ཞེན་ཡུལ་༏་༣.་གཟུགས་འཛིན་དབང་མངོན་༏་༤.་སྔགས་སྡོམ་འཛིན་པ་༏་༥.་བདེན་འཛིན་༏་༦.་ངེས་ཤེས་ཀྱི་འཛིན་སྟངས་སྟོང་ཉིད་ལ་ཞུགས་ཤིང
འགལ-བ	༡.་དངོས་པོ་དང་འགལ་བ་༏་༢.་རིགས་ཅན་གསུམ་གྱི་བསྒོམ་བྱའི་གཙོ་བོ་འགལ་བ་ཡིན་ཏེ
འགྲོས	མདོར་ན་ཁ་ཕྱིར་ལྟས་ཀྱི་འགྲོས་གཉིས་དང་ཁ་ནང་ལྟས་ཀྱི་འགྲོས་གཅིག་ཅིག་ཆར་དུ་སྐྱེ་བར་འདོད
འཇུག	༡.་འོད་གསལ་མངོན་སུམ་དུ་འཇུག་པ་༏་༢.་དེ་ན་ལ་འཇུག་ཀྱང་༏་༣.་བྱིས་པ་ལྟར་འཇུག་༏་༤.་ཁྱབ་བྱེད་དུ་འཇུག་པ་༏་༥.་ཚོགས་ལམ་ནས་ངེས་པར་འཇུག་སྟེ་༏་༦.་སྟོན་པ་ལ་འཇུག་པ་དང
འཇུག-པ	༡.་དེ་ལྟར་འཇུག་པའི་ཚེ་༏་༢.་འཇུག་ཚེ་གཅིག་ཏུ་འཁྲུལ་༏་༣.་འཇུག་པའི་ཚེ
འཁོན	༡.་རྗེ་བོ་ལ་འཁོན་པ་༏་༢.་གྲོགས་འཁོན
འཁོར-གསུམ	༡.་འཁོར་གསུམ་ཁས་༏་༢.་འཁོར་གསུམ་མི་དམིགས་པ
འཁྲུལ-བ	རང་གི་སྣང་ཡུལ་ལ་འཁྲུལ་བ
འཁུམས	འཇམ་དཔལ་དང་ནི་མུ་ཏི་ཏ་ལ་འཁུམས།
འཁུར	བདེ་བ་དང་ལྡན་པར་བྱ་བའི་འཁུར
འོད-གསལ	དོན་གྱི་འོད་གསལ
འོས	རྟོགས་པའི་འོས་སུ་གྱུར་པའི་ཆོས
འཕྲད	༡.་ཡུལ་དབང་འཕྲད་༏་༢.་ཚིག་འཕྲད་གྲངས་སུ་མ་ནོར་གཅེས
འཕྲད-པ	ལས་མ་བྱས་པ་དང་འཕྲད་པ
འཕྲུལ	རིགས་པའི་འཕྲུལ་མཚམས
འཕྱོང	སྤྲེའུ་ལྟར་འཕྱོང་བའི་ལུས་ཀྱི་གནས་ངན་ལེན
འཚབ	ཕྱིས་ཀྱི་ལོ་ཙཚས་གཞན་ལ་འགྱུར་ཆད་བསབས་ཀྱང
འཚམས	རིགས་པས་འཕུལ་འཚམས་ཙམ་མིན་པར་ཤིན་ཏུ་གསལ་ལོ
བབས	ཡེ་ཤེས་ཅུང་ཟད་བབས་པ
བད-ཀན	རླུང་མཁྲིས་བད་ཀན་འདུས་པའི་ནད་ཆེན
བམ	གམ་ངམ་དམ་ནམ་བམ་མམ་འམ༎་རམ་ལམ་སམ་རྣམས་འབྱེད་སྡུད་སྒྲ།
བང-ཆེན	བང་ཆེན་མི་གཉིས་པོ་ཡི་རྩེད་ལན་དུ།
བར	དབྱེ་ན།་གཟུགས་འཛིན་ཡིད་མངོན་ནས་རེག་བྱ་འཛིན་པའི་ཡིད་མངོན་གྱི་བར་ལྔ་།
བཅོས-མ-ཡིན-པ	གང་ཞིག་བཅོས་མ་ཡིན་པ་དེ་ནི་དེའི་བདག་གི་བ་མ་ཡིན
བདག	དེ་ལྟར་དུས་གསུམ་འདས་པའི་བདག་འཇིག་རྟེན་དོན་དུ་ཅི་ཡོད་དམ།
བདག-རྐྱེན	རང་གི་ཐུང་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་མིག་དབང་དང་དམིགས་རྐྱེན་གཟུགས་ལ་བརྟེན་ནས་སྐྱེས་པའི་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་བའི་རིག་པ།
བཀྲལ-བ	༡.་མདོའི་དོན་བཀྲལ་བ་ནི་༏་༢.་གྲུབ་ཆེན་ཚད་ལྡན་གྱིས་བཀྲལ་བ
བོ	རྙིངས་པ་དང་།་བོ་བ་དང་།་སྐུ་ལ་རྡུལ་གྱིས་གོས་པར་གཟིགས་སོ།
བརྗེ	སྔ་མའི་ལུས་རགས་པ་བརྗེ་དགོས་པའི་ཕྱིར
བརྗིད-པ-བགྱིས-པར-འགྱུར	ལྷམ་མེར་བརྗིད
བརྗོད-པ	བརྗོད་པར་བྱ་ལ
བརྩེགས	སེམས་དཔའི་གསུམ་བརྩེགས
བསྒྲེང	མཐེ་བོ་གཉིས་རྡོ་རྗེ་སྟེ།་མི་ཕྱེད་པའི་ཚུལ་གྱིས་གཤིབས་ཏེ་བསྒྲེང་བས
བཤད-པ	ཁ་དོག་དཀར་དམར་སོགས་ཀྱི་རྣམ་བཞག་བཤད་པ་ལ
བྱང-ཆུབ	༡.་མངོན་པར་བྱང་ཆུབ་པ་༏་༢.་བྱང་ཆུབ་ཀྱི་སེམས་༏་༣.་བྱང་ཆུབ་སེམས་དཔའ
བྱེད-པ	༡.་དོན་བྱེད་ནུས་པ་༏་༢.་ཡིད་ལ་བྱེད་པ་༏་༣.་འཇིག་རྟེན་ན་སས་སྐྱེ་ཞིང་གནས་པའི་རྟེན་བྱེད་པ་བཞིན་དུ་༏་༤.་རྣམ་པ་ཡང་དང་ཡང་དུ་ཡིད་ལ་བྱེད་པ་གོམས་ན་༏་༥.་དགག་བྱར་བྱེད་དགོས་པ
བཟུང-བྱ	མིག་ཤེས་ཀྱི་བཟུང་བྱ
