འམ	[C]vA; [C]athavA-api
འང	[LCh]api
འབའ-ཞིག	[C]kevalam; [MSA]kevala
འབའ-ཞིག-མངོན-དགའ-ཞིང	[C]abhinandamAno
འབབ	[C]pravahati; [MSA]syandana; [C]upayAti
འབབ-པ	pravaNa; [C]pravahati; [C]pravaNa; [MSA]pata; [C]prasrava
འབད	[C]yatna; [MSA](√yat): yateta; [MSA](√ghaT): ghaTamAna; [MSA](vyA √yam): vyAyacchate
འབད-ཅིང	[L](√ghaT): ghaTamAna; [C]vyAyacchati
འབད-མེད	[MSA]ayatna
འབད-ན	[C]vyAyacchati
འབད-པ	yatna. vyAyAma; [MSA,MV]yatna. vyAyAma; [C]parizrama; [C]samutsuka; [MSA]ghaTana; [MV]yatna. vyAyAma
འབད-པར-བྱ	[MV](√yat): yatiSye
འབད-པར-བྱའོ	[C]vyAyacchati
འབད-པར-བྱེད-དོ	[C]udyogam Apadyate; [MSA](vyA √yam): vyAyacchate
འབད-པར-བྱེད-པ	[MSA]vyAvasAyika
འབད-པ-མི-མངའ-བར-ཡེ-ཤེས-འཇུག-པ	[MSA]ayatnato jJAna-pravRtteH
འབད-པ-ཆེན-པོས-བརྩོན-པ-ཆེར-བྱེད-པ	[C]udyogam Apadyate
འབད-པ-བརྩོན-པ-ཆེར-བྱེད-པ	[C]udyogam Apadyate
འབད-པ-དང-བཅས-པ	[MSA]yatna-vattva
འབད-པ-མེད-པར-ཐར-པར-འགྱུར	[MSA]ayatna-mokSa
འབད-མེད-པར	[MSA]vinA yatnaM
འབད-པའི-རྣམ-པ-བསྒོམ-པ	[MSA]vyavasAyAkAra-bhAvana
འབར	(√jval): [MSA]jvalate; [MSA]jvalana
འབར-བ	jvalita. uttapta; [LCh,C,L]jvalana; [C]jvalita. uttapta; [C]jvalita. uttapta
འབེབས	[MSA]parAjaya; [MSA]vinirjaya
འབེབས-པ	[MSA]parajaya; [MSA]vinirjaya
འབོད-པ	[C]AhvAna
འབྲལ	[MV]apagama; [MV]vizleSa; visaMyoga
འབྲལ-བ	[C]visaMyoga
འབྲལ-བའི-བྱེད-རྒྱུ	[MV]vizleSa-apagama
འབྲལ-བ-མེད	[C]avisaMyoga
འབྲལ-བ-ལ-སྒྲིབ-པ	[MV]vizleSa-apagama
འབྲལ-བར-མི-བྱེད-པ	[C]avirahita
འབྲལ-བར-འགྱུར-རོ	[C]prativinodayati (=sarvathA-apanayanAt)
འབྲལ-བར-བྱེད-དེ	[C]vivecayati (=vivekayati = paribAheti)
འབྲལ-བར-བྱེད-པ	[C]vivecanatA; [C]vivecayati
འབྲལ-བར-བྱེད-པའི-ཚིག-རྣམས	[C]viveka-padAni
འབྲས	phala
