འམ	[C]vā; [C]athavā-api
འང	[LCh]api
འབའ-འཛར	vajra
འབའ-ཞིག	[C]kevalam; [MSA]kevala
འབའ-ཞིག-མངོན-དགའ-ཞིང	[C]abhinandamāno
འབབ	[C]pravahati; [MSA]syandana; [C]upayāti
འབབ-པ	[C]pravahati; [C]pravaṇa; [MSA]pata; [C]prasrava
འབད	[C]yatna; [MSA](√yat): yateta; [MSA](√ghaṭ): ghaṭamāna; [MSA](vyā √yam): vyāyacchate
འབད-ཅིང	[L](√ghaṭ): ghaṭamāna; [C]vyāyacchati
འབད-མེད	[MSA]ayatna
འབད-མེད-པར	[MSA]vinā yatnaṃ
འབད-ན	[C]vyāyacchati
འབད-པ	[MSA,MV]yatna; [C]pariśrama; [C]samutsuka; [MSA]ghaṭana; [MV]vyāyāma
འབད-པ-བརྩོན-པ-ཆེར-བྱེད-པ	[C]udyogam āpadyate
འབད-པ-ཆེན-པོས-བརྩོན-པ-ཆེར-བྱེད-པ	[C]udyogam āpadyate
འབད-པ-དང-བཅས-པ	[MSA]yatna-vattva
འབད-པ-མེད-པར-ཐར-པར-འགྱུར	[MSA]ayatna-mokṣa
འབད-པ-མི-མངའ-བར-ཡེ-ཤེས-འཇུག-པ	[MSA]ayatnato jñāna-pravṛtteḥ
འབད-པའི-རྣམ-པ-བསྒོམ-པ	[MSA]vyavasāyākāra-bhāvana
འབད-པར-བྱ	[MV](√yat): yatiṣye
འབད-པར-བྱའོ	[C]vyāyacchati
འབད-པར-བྱེད-དོ	[C]udyogam āpadyate; [MSA](vyā √yam): vyāyacchate
འབད-པར-བྱེད-པ	[MSA]vyāvasāyika
འབར	(√jval): [MSA]jvalate; [MSA]jvalana
འབར-བ	[LCh,C,L]jvalana; [C]jvalita; [C]uttapta
འབེབས	[MSA]parājaya; [MSA]vinirjaya
འབེབས-པ	[MSA]parajaya; [MSA]vinirjaya
འབོད-པ	[C]āhvāna
འབྲ-གོ-ཅན	[GM3.1] kharjūrika
འབྲལ	[MV]apagama; [MV]viśleṣa; visaṃyoga
འབྲལ-བ	[C]visaṃyoga
