བདག-ཉིད-གཅིག	Syn.: one nature; one entity
བེམ-པོ	Syn.: form (rUpa)
བྲལ-བའི-འབྲས-བུ	Syn.: [according to 'bras bu lnga skor]: true cessation
བྱང-སེམས-ཀྱི-མཁྱེན-པ	Syn.:Bodhisattva path of preparation (?)
བྱང-ཆུབ-ཀྱི-ཕྱོགས-དང-མཐུན-པ	byang phyogs so bdun
དངོས-པོ	Syn.: impermanent; product; caused phenomenon; cause; effect; specifically characterized phenomenon; ultimate truth; manifest phenomenon; [B-7 adds:] appearing object of direct prime cognition; [synonym in Causes and Effects (rgyu 'bras):] cooperative condition; {GD:106} existent phenomena
དངོས-མེད-ཀྱི-ཆོས	Syn.: permanent phenomenon; generally characterized phenomenon; conventional truth; uncaused phenomenon; non-product phenomenon; [B-7 includes:] appearing object of a conceptual consciousness
དོན-མངོན-རྟོགས	Syn.: path of preparation; partial concordance with definite discrimination; limb of definite discrimination
གཞི-གྲུབ	Syn.: (1) object of knowledge; (2) existent; (3) phenomenon; (4) object of comprehension; (5) object; (6) object of comprehension by an omniscient consciousness; (7) hidden phenomenon
མ-ངེས-པ	Syn.: the pervasion is not ascertained
མཛུབ-ཆུང	little finger; Syn.: little finger
མཛུབ-མོ	index finger; Syn.: index finger
མི-སློབ-ལམ	Syn.: (1) exalted wisdom that abandons the afflictive obstructions; (2) exalted knower of a Foe Destroyer
མིང-མེད	ring finger; Syn.: ring finger
མངོན-རྟོགས	Syn.: path of release; exalted knower; exalted wisdom; mother; vehicle
མཐེ-བོང	Syn.: thumb; thumb
མཐེབ	Syn.: thumb; thumb
མཚན-ཉིད	Syn.: nature; mode of subsistence; mode of being; status; mode of disposition; way of being; way of subsistence; measure of being; measure of subsistence
ངེས-འབྱུང	Syn.: Definite emergence from cyclic existence
ངེས-འབྱེད-ཡན-ལག	Syn.: path of preparation; partial concordance with definite differentiation; clear realizer of the meaning
ངེས-འབྱེད-ཆ-མཐུན	Syn.: path of preparation; branch of definite differentiation; clear realizer of the meaning
ངོ-སྐལ	corresponding; Syn.: corresponding
ངོ-བོ-གཅིག-པ	Syn.: one nature; one essence
ངོ-བོ-ངེས-པ	Syn.: determinate with respect to its nature
ངོ-བོ-མ-འདྲེས-པ	Syn.: determinate with respect to its nature
ཉེར-ལེན	Syn.: [according to rgyu 'bras che ba'i rnam bzhag]: functioning thing of which the continuum is cut off
ཉོན-སྒྲིབ-སྤངས-པའི-ཡེ-ཤེས	Syn.: path of no more learning; exalted knower of a Foe Destroyer
པདྨའི-ངང-ཚུལ	Syn.: KamalashIla
ཕན-ཚུལ-གྲོགས-སུ	Syn.: friend
ཕྲག-སྟོང	1000; Syn.: 1000
རང-མཚན	Syn.: functioning thing; impermanent; produced phenomenon; product; cause; effect; ultimate truth; manifest phenomenon; B-7 adds: appearing object which is a manifest phenomenon
རང-བཞིན-གཅིག-པ	Syn.: one essence; one entity
རང-རྒྱལ-གྱི-ལམ	Syn.: (1) Solitary Realizer vehicle; (2) Solitary Realizer ground; Solitary Realizer exalted knower
རིག-པ	Syn.: knowledge; cognition
རྗེས-ལ-མངོན-རྟོགས	Syn.: path of meditation; exalted knower of one on the path of meditation
རྣམ-པ-མེད-པར-སྨྲ-བ	syn.: False Aspectarian school
སྦྱོར-ལམ	Syn.: partial concordance with definite discrimination; branch of definite discrimination; clear realizer of the meaning
སྡིགས-མཛུབ	index finger; Syn.: index finger
ཤིས-ལུགས	Syn.: nature; definition; mode of subsistence; mode of being; status; mode of disposition; way of being; way of subsistence; measure of being; measure of subsistence
སྲིན-ལག	ring finger; Syn.: ring finger
སྲིན-མཛུབ	ring finger; Syn.: ring finger
ཐེ-བོ	thumb; Syn.: thumb
ཚད-མའི-ཆོད-པའི-འབྲས-བུ	Syn.: the interrupted results of valid cognition
ཡིན-ཚོད	Syn.: nature; definition; mode of subsistence; mode of being; status; mode of disposition; way of being; way of subsistence; measure of subsistence
ཡིན-ཚུལ	way of being; Syn.: nature; definition; mode of subsistence; mode of being; status; mode of disposition; way of subsistence; measure of subsistence
