འབྲས	འབྲས་བུ
འབྲས-བུའི-ཐེག-པ	གསང་སྔགས་ཀྱི་ཐེག་པ
འཆལ-པ	འཆལ་བ
འདོད-ཡོན	འདོད་པའི་ཡོན་ཏན
འདུས-བྱས	དངོས་པོ།་མི་རྟག་པ།་རྒྱུ།་འབྲས་བུ།་རང་མཚན།་དོན་དམ་བདེན་པ།་མངོན་གྱུར།
འདུས-མ-བྱས-ཀྱི-ཆོས	རྟག་པ།་སྤྱི་མཚན།་ཀུན་རྫོབ་བདེན་པ།་དངོས་མེད་ཀྱི་ཆོས།་མ་བྱས་པའི་ཆོས།
འཛམ-བུ-གླིང	འཛམ་བུ་གླིང
འཇིག-བསྐལ	འཇིག་པའི་བསྐལ་པ
འཇིག-ལྟ	འཇིག་ཚོགས་ལ་ལྟ་བ
འཇིག-རྟེན-འདས	འཇིག་རྟེན་ལས་འདས་པ
འཇིག-རྟེན-འདས-པ	འཇིག་རྟེན་ལས་འདས་པ
འཇིག-རྟེན-ལ-གྲགས-པ	འཇིག་རྟེན་གྲགས་པ་འཇིག་རྟེན་གྱི་གྲགས་པ
འཇིགས-རྟེན-གྱི-ཁམས	འཇིག་རྟེན་ཀྱི་ཁམས
འཐད-ལྡན	ཚད་མ་རྣམ་པར་ངེས་པའི་འགྲེལ་བཤད
བ-ལང-གནས-པ	བ་གླང་གནས་པ
བར-སྣང	བར་གྱི་སྣང་བ
བར-མ-ཆོད-པའི-ཚད-མ-འབྲས-བུ	ཚད་མའི་ཆོད་པའི་འབྲས་བུ
བར-ཆོད-པའི-ཚད-མ-འབྲས-བུ	ཚད་མའི་ཆོད་པའི་འབྲས་བུ
བཅད-པའི-ཡུལ-ཅན	བཅས་ཤེས་དཔྱད་ཤེས
བཅས-ཤེས	བཅད་པའི་ཡུལ་ཅན་དཔྱད་ཤེས
བཅོས-མིན	བཅོས་མ་མ་ཡིན་པ
བདག-ཉིད-གཅིག	དོན་གཅིག་རང་བཞིན་གཅིག་ངོ་བོ་གཅིག
