ཐེག-པ-ཆེན-པོ-རྒྱུད-བླ-མའི-བསྟན-བཅོས	རྒྱུད་བླ་མ།n་རྒྱུད་བླ།
བློ-བཟང-དཔལ-ལྡན-བསྟན-པའི-ཉི-མ	བློ་བཟང་དཔལ་ལད།n་ན་བསྟན་པའི་ཉི་མ་ཕྱོགས་ལས་རྣམ་རྒྱལ།
ཆེ-གེ	ཆེ་གེ་མོ
ཆེ-གེ-མོ	ཆེ་གེ
དབོན-པོ	དབོན
དབོན	དབོན་པོ
ཀུན-དཀྲིས	དཀུན་ནས་དཀྲིས་པ་ན
ཀུན-ནས-དཀྲིས-པ	ཀུན་དཀྲིས
ཡན-ཆད	ཡན་ཆོད
ཡན-ཆོད	ཡན་ཆད
ཡིད-ཀྱི-རྣམ-ཤེས	ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ
རྗེས-སུ-སྤྱད-པ	རྗེས་སུ་དཔྱད་པ
རྗེས-སུ-དཔྱད-པ	རྗེས་སུ་སྤྱད་པ
ཀུན-སོང	ཀུན་ཏུ་སོངnཀུན་ཏུ་སོང་བ
ཀུན-ཏུ-སོང	ཀུན་སོངnཀུན་ཏུ་སོང་བ
ཀུན-ཏུ-སོང-བ	ཀུན་སོངnཀུན་ཏུ་སོང
ཤེས-རབ-ཀྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ	ཤེར་ཕྱིན
ཤེར-ཕྱིན	 ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ|ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ 
ཕ-རོལ-ཏུ-ཕྱིན-པ	ཕར་ཕྱིན
ཕར-ཕྱིན	 ཕ་རོལ་ཏུ་ཕྱིན་པ|ཕ་རོལ་ཏུ་ཕྱིན་པ 
ཀུན-སྦྱོར	ཀུན་ཏུ་སྦྱོར་བ
ཀུན-ཏུ-སྦྱོར-བ	ཀུན་སྦྱོར
ཤིན-སྦྱངས	ཤིན་ཏུ་སྦྱངས་པ
ཤིན-ཏུ-སྦྱངས-པ	ཤིན་སྦྱངས
རྩ-ཉོན	རྩ་བའི་ཉོན་མོངས
རྩ-བའི-ཉོན-མོངས	 རྩ་ཉོན|རྩ་ཉོན 
ཆོས-མངོན-པར-རྟོགས-པ	ཆོས་མངོན་རྟོགས
ཆོས-མངོན-རྟོགས	ཆོས་མངོན་པར་རྟོགས་པ
