འབྲས-བུ	མཚན་ཉིད།་༡.་བསྐྱེད་བྱ།་༢.་ཕན་གདགས་བྱ།
འབྲེལ-པ	མཚན་ཉིད།་ཁྱོད་དེ་དང་ཐ་དད་གང་ཞིག་དེ་ལྡོག་སྟབས་ཀྱིས་ཁྱོད་ལྡོག་དགོས།
འདུས-བྱས	༡.་འཇིག་པ།་༢.་སྐྱེ་དགག་གནས་གསུམ་རུང་བ
འདུས-མ-བྱས	མཚན་ཉིད།་མི་འཇིག་པ།
འདུས-མ-བྱས-ཀྱི-ཆོས	མཚན་ཉིད།་༡.་མི་འཇིག་པའི་ཆོས།་༢.་སྐྱེ་དགག་གནས་གསུམ་མི་རུང་བའི་ཆོས།
འགལ-བ	མཚན་ཉིད།་ཁྱོད་ཐ་དད་ཡང་ཡིན།་གཞི་མཐུན་མི་སྲིད་པའི་ཆོས།
འཁྲུལ-ཤེས	མཚན་ཉིད།་རང་གི་སྣང་ཡུལ་ལ་འཁྲུལ་བའི་རིག་པ།
བ-གླང	མཚན་ཉིད།་ནོག་སོགས་འདུས་པའི་གོང་བ།
བཅད-ཤེས	མཚན་ཉིད།་རང་འདྲེན་བྱེད་ཀྱི་ཚད་མ་སྔ་མས་རྟོགས་ཟིན་རྟོགས་པའི་ཚད་མིན་གྱི་རིག་པ
བདག-གཅིག-འབྲེལ	མཚན་ཉིད།་ཁྱོད་དེ་དང་ཐ་དད་གང་ཞིག་དེ་དང་བདག་ཉིད་གཅིག་པའི་སྒོ་ནས་འགྲེལ་བ་གྲུབ་པ།
བེམ-པོ	མཚན་ཉིད།་རྡུལ་དུ་གྲུབ་པ།
བློ	མཚན་ཉིད།་རིག་པ།
བློའི-གཞན-སེལ	མཚན་ཉིད།་མ་ཡིན་དགག་གི་གཞན་སེལ་ཡང་ཡིན།་རྟོག་པས་སྒྲོ་བཏགས་ཀྱང་ཡིན་པའི་གཞི་མཐུན་པ།
བརྒྱུད-རྒྱུ	མཚན་ཉིད།་བརྒྱུད་ནས་སྐྱེད་བྱེད
བརྩོན-འགྲུས	དགེ་བ་ལ་སྤྲོ་བ
བསམ-གཏན-དང-པོའི-དངོས-གཞི-ཙམ	མཚན་ཉིད།་བསམ་གཏན་གྱི་དངོས་གཞིའི་སྙོམས་འཇུག་གང་ཞིག་ཚོར་བ་གཏང་སྙོམས་ཀྱི་ས་པའི་རིགས་སུ་གནས་པ།
བཏགས-ཡོད	མཚན་ཉིད།་རང་ཉིད་ངོས་གཟུང་བ་ལ་ཆོས་གཞན་ངོས་གཟུང་བ་ལ་ལྟོས་དགོས་པ
བུམ-པ	མཚན་ཉིད།་ལྟོ་ལྡིར་ཞབས་ཞུམ་ཆུ་སྐྱོར་གྱི་དོན་བྱེད་ནུས་པ།
བུམ-པའི-བློའི-གཞན-སེལ	མཚན་ཉིད།་བུམ་པའི་མ་ཡིན་དགག་གི་གཞན་སེལ་ཡང་ཡིན།་རྟོག་པས་སྒྲོ་བདགས་ཀྱང་ཡིན་པའི་གཞི་མཐུན་པ།
བུམ-པའི-བྱེད-རྒྱུ	མཚན་ཉིད།་བུམ་པ་དང་རྫས་ཐ་དད་ཀྱང་ཡིན།་བུམ་པ་སྐྱེ་བ་ལ་གེགས་མི་བྱེད་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་དུ་དམིགས་པ།
བུམ-པའི-དོན-སྤྱི	མཚན་ཉིད།་བུམ་འཛིན་རྟོག་པ་ལ་བུམ་པ་མ་ཡིན་བཞིན་དུ་བུམ་པ་ལྟ་བུར་སྣང་བའི་སྒྲོ་བཏགས་ཀྱི་ཆ།
བྱང-སེམས-འཕགས-པའི-ས	མཚན་ཉིད།་སྟོང་ཉིད་མངོན་སུམ་དུ་རྟོགས་པའི་ཤེས་རབ་དང་།་སྙིང་རྗེ་ཆེན་པོས་ཟིན་པའི་བྱང་འཕགས་ཀྱི་མཁྱེན་པ།
