འང-དེ	vacant
འབའ-ཞིག-མངོན-དགའ-ཞིང	{C}wholly delighting in
འབབ	{C}flow along; approach; submit to; come to
འབབ-པ	{C}prone to; flowing along
འབད-ཅིང	{C}when he strives; struggle; makes an effort; exert oneself
འབད-ན	{C}struggle; makes an effort; exert oneself
འབད-པ	continual study; zealous; endeavor
འབད-པ-བརྩོན-པ-ཆེར-བྱེད-པ	{C}exert oneself; make an effort; make a great effort
འབད-པ-ཆེན-པོས-བརྩོན-པ-ཆེར-བྱེད-པ	{C}exert oneself; make an effort; make a great effort
འབད-པར-བྱེད-དོ	exert oneself; make a great effort
འབར-བ	{C}burning; splendid; well-purified; refined
འབིར-གུང-འཇིག-རྟེན-མངོན-པོ	{GD:811} Dri-gung-jig-den-ngon-bo (1143-1217), first patriarch of the Dri-gung-ba branch of the Ga-gyu (bka' rgyud) school
འབིར-གུང-པ	{GD:811} Dri-gung-ba, a branch of the Ga-gyu (bka' rgyud) school
འབོད-པ	{C}(true) appelations
འབྲལ-བ	{C}disjoining from
འབྲལ-བ-མེད	{C}undisjoined
འབྲལ-བར-འགྱུར-རོ	{C}gets rid of
འབྲལ-བར-བྱེད-དེ	{C}dissuade
འབྲལ-བར-བྱེད-པ	{C}dissuade; critical examination
འབྲལ-བར-བྱེད-པའི-ཚིག-རྣམས	{C}discouraging remarks
འབྲས-བུ-ལྟར-འཚོ-བར	{C}a life-giving fruit
འབྲས-བུ-ཐོབ	{C}one who has attained the fruit [of an Arhat]
འབྲས-བུ-ཡོད-པར	{C}not barren; bear the fruit
འབྲས-བུའི-གཏན-ཚིགས	{GD:287} reasoning by effects
འབྲས-ཡོད	{C}not barren; bear the fruit
འབྲེལ-བ	{C}connected (with); pursue; joined; contained; bound; tied to; caught in; connection
འབྲི-བ-ལ-བརྟེན-པ	{C}what lowers
འབྲིང	{C}middle; medium
འབྲོག-དགོན-པ	{C}wild forest
འབྲོག-དཀོན-པ	{C}wild forest
འབྲོག-མེ-ཤོར-བའི-གནོད-པ	{C}a huge conflagration spreading
འབྲུ	{C}corn; barley
འབྲུག-གི	{C}like thunder
འབུ-ཅན-གྱི	{C}worm-eaten; worm-eaten corpse
འབྱེད-པར-བྱེད-པར-འགྱུར-ཏེ	{C}causes dissention
འབྱིན-པ	{C}rescues; pull out; begetter; genetrix
འབྱིན-པར-འགྱུར-རོ	{C}rescues; pull out
