སངས-རྒྱས	buddhaḥ
བཅོམ-ལྡན-འདས	bhagavān
དེ-བཞིན-གཤེགས-པ	tathāgataḥ
དགྲ-བཅོམ-པ	 arhan|arhan 
ཡང-དག-པར-རྫོགས-པའི-སངས-རྒྱས	samyaksaṃbuddhaḥ
རིག-པ-དང-ཞབས-སུ-ལྡན-པ	vidyācaraṇasaṃpannaḥ
བདེ-བར-གཤེགས-པ	sugataḥ
འཇིག-རྟེན-མཁྱེན-པ	lokavit
བླ-ན-མེད-པ	 anuttaraḥ|anuttaraḥ 
སྐྱེས-བུ-འདུལ-བའི-ཁ-ལོ-བསྒྱུར-བ	puruṣadamyasārathiḥ
སྟོན-པ	 deśayati| upastambhaḥ |śāstā (devamanuṣyāṇām) 
རྒྱལ-བ	jinaḥ
འཇིག-རྟེན-གྱི-གཙོ-བོ	lokajyeṣṭhaḥ
ཐམས-ཅད-མཁྱེན-པ-ཀུན-མཁྱེན	sarvajñaḥ
ཐམས-ཅད-མཁྱེན-པ-འམ-ཀུན-མཁྱེན	sarvajñaḥ
སྐྱོབ-པ	 trāṇam|trāyī (tāyī) 
ལྷའི-ཡང-ལྷ	devātidevaḥ
དྲང-སྲོང-ཆེན-པོ	maharṣiḥ
ཆོས-ཀྱི-རྗེ	dharmasvāmī
ཁྱུ-མཆོག	ṛṣabhaḥ
འདྲེན-པ	nāyakaḥ
ཡོངས-སུ-འདྲེན-པ	pariṇāyakaḥ
རྣམ-པར-འདྲེན-པ	vināyakaḥ
གཉིས-སུ-མེད-པར-གསུང-བ	advayavādī
ཟས-གཙང-གི-སྲས	śauddhodaniḥ
སྟོབས-བཅུ-པ	daśabalaḥ
བདུད-འདུལ	mārajit
ཤཱ-ཀྱའི-སྐྱེས-མཆོག	śākyapuṅgavaḥ
སྲུང-མཛད	goptā
བདག-ཉིད-ཆེན-པོ	mahātmā
རྣམ-པར-རྒྱལ-བ-མངའ-བ	vijayī
ཁྱབ-བདག	 vikṣepādhipatiḥ|vibhuḥ 
ཐམས-ཅད-སྒྲོལ	viśvaṃtaraḥ
ཆོས-ཐམས-ཅད-ཀྱི-དབང-ཕྱུག	sarvadharmeśvaraḥ
རྣམ-པར-མཛེས-པ	virāṭ
བརྟན-པ	 dhruvaḥ|dhīraḥ 
ཡོན-ཏན-རྒྱ-མཚོ	guṇasāgaraḥ
སྐྱབས-འོས	śaraṇyaḥ
སྐྱབས	 dvīpaḥ| śaraṇam |śaraṇam 
སྨྲ-བའི-སེང-གེ	vādisiṃhaḥ
མི-མཆོག	narottamaḥ
བདུད-ཟིལ-གྱིས-གནོན	mārābhibhuḥ
གང-ཟག-ཟླ-མེད-པ	apratipudgalaḥ
སྐྱོན-བསལ-བ	vāntadoṣaḥ
དུག-བཅོམ-པ	hataviṣaḥ
ལུས-མེད-ཐུལ	anaṅgajit
མངོན-པར-ཤེས-པ-དྲུག-དང-ལྡན	ṣaḍabhijñaḥ
སྲིད-མཐར-ཕྱིན	bhavāntakṛt
སྡིག-འཇོམས	aghahantā
དོན-གྲུབ	 siddhārthaḥ|siddhārthaḥ 
ཤཱ-ཀྱ-སེང-གེ	śākyasiṃhaḥ
མཆོག-དོན-འོས	varārhaḥ
མཆོག-སྦྱིན	varada
དཔའ-བོ	 vīraḥ| śūraḥ |vīraḥ 
ཞི-བར-མཛད-པ	śamitā
སྡིག-པ-ཞི-བ	śāntapāpaḥ
བསིལ-བར-གྱུར-བ	 śītībhavati|śītabhūtaḥ 
ཤིས-མཛད	śivamkaraḥ
རྩོད-མེད	nirdvandvah
བདག-གི-བ-མེད-པ	nirmamaḥ
མཚོན-པ	netā
ཁ-ན-མ-ཐོ-བ-མི-མངའ-བ	niravadyaḥ
བསྙེམས-པ-མི-མངའ-བ	nirbhayaḥ
སྲེད-པ-དང-བྲལ-བ	vītatṛṣṇaḥ
ལེན-པ-མི-མངའ-བ	nirādānaḥ
རྣམ-པར-གྲགས-པ	 vighuṣṭaḥ | vikhyātaḥ|viśrutaḥ 
དགེ-བའི-ཆོས-ཀྱི-འབྱུང-གནས	śubhadharmākaraḥ
གཙང-བ	 nedhyaḥ|śuciḥ 
དཔེ-མེད-པ	anupamaḥ
དུས-གསུམ-མཁྱེན-པ	trikālajñaḥ
གསུང-ལྡན	vādī
ཉེས-གསུམ-འཇོམས	tridoṣopahaḥ
ཆོ-འཕྲུལ-གསུམ-ལྡན-པ	triprātihāryasaṃpannaḥ
དྲི-མ-མེད-པ	 vimalā| vimalā |nirmalaḥ 
ཕུང-པོ-གསུམ-གྱི-ལམ-སྟོན-པ	triskandhapathadeśikaḥ
ནད-མི-མངའ-བ	nirjvaraḥ (nis+jvara)
ཉི-མའི-རིགས	sūryavaṃśaḥ
ཉི-མའི-རྒྱུད	āṅgirasaḥ
གོ-ཏ-མ	gautamaḥ
བུ-རམ-ཤིང-པའི-རིགས-དགའ-བ	ikṣvākukulanandanaḥ
མངའ-བདག	prabhuḥ
དེ-བཞིན-གཤེགས-པ-སོ-སོའི-མཚན-ལ	nānātathāgatanāmāni
རྣམ-པར-སྣང-མཛད	vairocanaḥ
མི-འཁྲུགས-པ	akṣobhyaḥ
རིན-ཆེན-འབྱུང-ལྡན	ratnasaṃbhavaḥ
འོད-དཔག-མེད	amitābhaḥ
དོན-ཡོད-གྲུབ-པ	amoghasiddhiḥ
རྣམ-པར-གཟིགས	vipaśyī
གཙུག-ཏོར-ཅན	śikhī
ཀུན-སྐྱོབས	viśvabhuk
ལོག-པ-དད-སེལ	krakucchanda
འཁོར-བ-འཇིག	kakutsundaḥ
གསེར-ཐུབ	kanakamuniḥ
འོད-སྲུང	kāśyapaḥ
ཤཱ-ཀྱ-ཐུབ-པ	śākyamuniḥ
མར-མེ-མཛད	dīpaṃkaraḥ
པད-མའི-སྤྱན	 padmanetraḥ|padmanetraḥ 
སྤྱན-གསལ-རྒྱས	prahasitanetraḥ
རིན-ཆེན-གཙུག-ཏོར-ཅན	ratnaśikhī
འབྲུག-སྒྲ	meghasvaraḥ
གླང-པོ-ཆེ-ལྟར-འགྱིན-ཞིང-བཞུད-པ	salīlagajagāmī
འཇིག-རྟེན-མོས-པ	lokābhilāṣī
སངས-རྒྱས-ཀྱི-ས-ཀུན-ཏུ-འོད	samantaprabhābuddhabhūmiḥ
མི-མཉམ-པ-དང-མཉམ-པའི-ཕུང-པོ-ལྔ	asamasamapañcaskandhaḥ
ཚུལ-ཁྲིམས-ཀྱི-ཕུང-པོ	śīlaskandhah
ཏིང-ངེ-འཛིན-གྱི-ཕུང-པོ	samādhiskandhaḥ
ཤེས-རབ-ཀྱི-ཕུང-པོ	prajñāskandhaḥ
རྣམ-པར-གྲོལ-བའི-ཕུང-པོ	vimuktiskandhaḥ
