འབའ-ཞིག	kevala. n^anyatra
འབའ-ཞིག-གིས	kevala
འབའ-ཞིག-པ	kevala
འབའ-ཞིག-པོ	kevala
འབའ-ཞིག-ཏུ	kevalam
འབའ-ཞིག-ཏུ-ཟད	kevalam
འབའ-ཞིག-གི-དོན	kaivaly^artha
འབབ-ཆུ	prasravaNa
འབབ-པ	pravaNa; praghArita. pra-/sru:prasravanti. /vRS:varSati. /syand:syandanti
འབབ-པའི-ཚེ-ན	avataratAm
འབབ-ཏུ-འཇུག-པ	ava-/MM:avataranti
འབབ-པར-འགྱུར-བ	sam-/jan:saMjAyate
འབབ-པར-བྱེད-པ	pravaNa
འབད-པ	yatna. vyAyAma; ghaTa. prayatna. a-tRpta. utsuka. vyavasAyatA. vyAyacchat. vyAyacchamAna. vy-A-/yam:vyAyacchate
འབད-པར-བྱ-བ	vy-A-/yam:vyAyaccheta
འབད-པར-མི-བྱེད-པ	na kriyate prayatnaH
འབད-པར-བྱེད-པ	ut-/sah:utsahate. vy-A-/yam:vyAyacchate. vyA-/yam:vyAyacchate
འབད-མི-དགོས-པ	a-prayatna
འབད-པ-རྩོམ-པ	yatnam Arabhate. yatn^arambhaNatA
འབད-པ-བརྟན-པ	dRDha-vyavasAyatA
འབད-པ-དང-ལྡན-པ	utthAnavat
འབད-པ-མེད-པ	anutsuka. a-prayatna
འབད-ཅིང-མི-ཞུམ-པར-བརྩོན-པ	a-tRpt^alIna-prayoga
འབགས-པ	saMSRSTa. saMsRSTa
འབངས	jana-pada. prajA. rAjya-jana
འབར-བ	jvalita. uttapta
འབར-བ-ཅན	ulkA
འབར-བ-བྱེད-པ	jvalana
འབར-བ-ལྟ-བུ	uttapta
འབེབས-པ	nirNetRtva
འབེབས-པར-བྱེད-པ	anu-pra-/yam:anuprayacchati
འབེལ-བའི-གཏམ	sAMkathya
འབེལ-བའི-གཏམ-དང-རྣམ-པར-གཏན-ལ-འབེབས-པའི-སྒྲ	sAMkathya-vinizcaya-zabda. sAMkathya-vinirNaya-zabda
འབེལ-བའི-གཏམ-རྣམ-པར-ངེས-པར-བྱ-བ	sAMkathya-vinizcaya-kriyA
འབིགས-པ	/chidr:chidrayanti
འབིགས-པར-བྱེད-པ	vi-/likh:vilikhati
འབོད-པ	AmantraNa
འབོད-པར-བྱེད-པ	AhvAnaM karoti
འབྲལ-བ	bhedana. apakrAnti. vivejya. viyoga. viraha
འབྲལ-པ	bheda
འབྲལ-བའི-སྡུག-བསྔལ	viraha-duHkha
འབྲལ-བར-དཀའ-བ	durvivejya
འབྲལ-བར-སླ-བ	su-vivejya
འབྲལ-བར-འགྱུར-བ	parihartavya. vi-/gam:vigacchanti
འབྲང-བར-འགྱུར-བ	prati-/sR:pratisarati
འབྲས	gaNDa
འབྲས-བུ	phalatva. phala; phalatA
འབྲས-ཆན	bhakta. odana
འབྲས-ཀྱི-འབྲུ	taNDula-kaNa. taNDula-phala
འབྲས-ཀྱི-འབྲུ-ཀུན-ཏུ-ཡོགས-པར-འགྱུར-བ	taN_lR_zHHDula-phalaM paryavanahati
འབྲས-སུ-གྱུར-པ	gaNDa-bhUta
འབྲས-བུ-ཉིད	phalatA
འབྲས-བུ-ཡང-དག-པར-གྲུབ-པ	samudAgata-phala
འབྲས-བུ-ཡང-དག-པར-མ-གྲུབ-པ	a-samudAgata-phala
འབྲས-བུ-ཡོད-པ	a-vandhya. a-bandhya. a-moghatA
འབྲས-བུ-ཡོད-པར-འགྱུར-བ	a-vandhya
འབྲས-བུ-ཡོད-པར-བྱེད-པ	a-bandhyAM karoti
འབྲས-བུ-ཁྱད-པར	vizeSa-phala
འབྲས-བུ-ཁྱད-པར-དུ-འཕགས-པ	phala-vaizeSya
འབྲས-བུ-འདས-པ	atIta-phala
འབྲས-བུ-རབ-ཏུ-ཕྱེ-བ	phala-prabhAvita
འབྲས-བུ-བྱིན-པ	phala-dAna
འབྲས-བུ-བྱིན-ཟིན-པ	datta-phala
འབྲས-བུ-བྱིན-པའི-སྒོ	phala-dAna-mukha
འབྲས-བུ-བྱིན-མ-བྱིན-པ	datt^adatta-phalatA
འབྲས-བུ-ཤིན-ཏེ-མར-འགྱུར-བ	zIrNa-phala
འབྲས-བུ-ཤིན-ཏུ-ཆེ-བ	mahA-phalatva
འབྲས-བུ-སྤྱད-ཟིན-པ	upayukta-phala
འབྲས-བུ-མཐོང-བ	phala-darzin
འབྲས-བུ-ཉེ-བར-སྤྱོད-པའི-སྲིད-པ	phal^opabhojakA bhavAH
འབྲས-བུ-ལོངས-སྤྱད-ནས-ཡོངས-སུ-ཟད-པར-འགྱུར-བ	phal^opabhoga-parikSaya
འབྲས-བུ-ལོངས-སྤྱོད-པ	phal^opabhoga
འབྲས-བུ-ལོངས-སྤྱོད-པས-ཡོངས-སུ-ཟད-པ	phal^opabhoga-parikSaya
འབྲས-བུ-ལོངས-སྤྱོད-པས-ཡོངས-སུ-ཟད-པར-མི-འགྱུར-བ	a-phal^opabhoga-parikSaya
འབྲས-བུ-ལོངས-སྤྱོད-པར-འགྱུར-བ	phal^opabhoga
འབྲས-བུ-རྣམ-པར-སྨིན-པ	phala-vipAka
འབྲས-བུ-དང-ཕན-ཡོན-ཆེ-བའི-འདུ-ཤེས	mahA-phalAnuzaMsa-saMjJA
འབྲས-བུ-དང-འབྲེལ-བའི-རྒྱུ	phala-saMbaddhaM hetum
འབྲས-བུ-དང-བཅས-པ	sa-phala
འབྲས-བུ-ལྟ-བུ	phala-sthAnIya
འབྲས-བུ-མེད-པ	vandhya. vinA phalena
འབྲས-བུ-མེད-པར-འགྱུར-བ	vandhyA. a-phala. viphalI-bhavati
འབྲས-བུ-འདྲུལ-བ	pUti-phala
འབྲས-བུ-མི-ཞིམ-པ	a-svAdu-phala
འབྲས-བུ-མི-སྨིན-པ	a-saMpanna-phala
འབྲས-བུ-མ-བསྐྱེད-པ	a-datta-phalatva
འབྲས-བུ-མ-མཐོང-བ	a-phala-darzin
འབྲས-བུ-མ-ཕྱུང-བ	a-datta-phala
འབྲས-བུ-མ-བྱིན-པ	a-datta-phala
འབྲས-བུ-ལྔ-པོ-དག	paJca phalAni
འབྲས-བུ-ལས-གྱུར-པའི-ཁྱད-པར	phala-kRto vizeSaH
འབྲས-བུ-ལ-ལྟ-བ	phala-darzana. phala-darzin
འབྲས-བུ-ལ-ལྟ-བ-མངོན-པར-དགའ-བ	phala-darzin
འབྲས-བུ-ལ-གནས-པ	phala-stha
འབྲས-བུ-ཆུང-བ	alpaka-phala
འབྲས-བུ-གཞན-དུ-འགྱུར-བ	parivRtta-phala
འབྲས-བུ-རྟག-ཏུ-མ-ཡིན-པ	a-sadA-phala
འབྲས-བུ-ཆེ-བ	bRhat-phala. maha-phala
འབྲས-བུ-ཆེ-བ-ཉིད	mahA-phalatA
འབྲས-བུ-ཆེ-བ-དག-གི-འདོད-ཆགས-དང-མ-བྲལ-བ	bRhat-phalebhyo 'vIta-rAgasya
འབྲས-བུ-ཡོངས-སུ-སྤྱད-ཟིན-པ	paryupayukta-phala
འབྲས-བུ-གནོད-པར-འགྱུར-བ	apathya-phala
འབྲས-བུ-སྐྱེད-ཟིན-པ	datta-phalatva
འབྲས-བུ-ཐུན-མོང-བ-མ-ཡིན-པ	a-sAdhAraNa-phala
འབྲས-བུ-ཆེན-པོ	mahA-phalatA
འབྲས-སཱ-ལུ	zAli
འབྲས-བུར-བསྡུས-པ	phala-saMgRhIta
འབྲས-བུར-གྱུར-པའི-རྣམ-པར-ཤེས-པ	vijJAnam-phala-bhUtam
འབྲས-བུའི-དྲི	phala-gandha
འབྲས-བུའི-དུས	phala-kAla
འབྲས-བུའི-རྐྱེན	phala-pratyaya
འབྲས-བུའི-ཚེ	phala-kAla
འབྲས-བུའི-སྡུག-བསྔལ	phala-duHkha
འབྲས-བུའི-ཕན-ཡོན	phal^anuzaMza
