ཀུན-ཉོན	Affliction
ཀུན-བཏགས-པའི-གཟུགས	Imagined forms
ཀུན-རྟོག	conceptualizations
ཀུན-ནས-མནར-སེམས-པ	hostile attitude
ཀུན-འབྱུང-གི-བདེན-པ	truth of origin, as interdependent links
ཀུན-གཞི	All-ground
ཀུན-གཞིའི-རྣམ-ཤེས	 All-ground consciousness, as one of the eight collections of cognitions|All-ground consciousness 
རྐྱེན-དང-འབྲེལ-བ-དྲུག	six related conditions
སྐད-ཅིག-མའི-རྟེན-འབྲེལ	interdependence of a moment
སྐལ-མཉམ	see also similar class - same status, as one of the fourteen non-concurrent formations
སྐྱེ-མཆེད-བཅུ-གཉིས	twelve sources
སྐྱེ-མཆེད-དྲུག	six sources, as one of the twelve links
སྐྱེ-བ	 Arising, as one of the fourteen non-concurrent formations; alt: (birth)|rebirth, as one of the twelve links 
སྐྱེ-བའི-ཀུན-ནས-ཉོན-མོངས-པ	Affliction of rebirth
སྐྱེས-བུ-ཁམས-དྲུག-པ	six elements of a person
ཁ-དོག-གི-གཟུགས	color-forms
ཁམས	element
ཁམས-བཅོ-བརྒྱད	eighteen elements
ཁོང-ཁྲོ	Anger
ཁོང-ཁྲོ-བ	Anger, as one of the six root disturbances
ཁོན-དུ-འཛིན-པ	Resentment, as one of the twenty subsidiary disturbances
ཁྱད-པར-གྱི-ཆོས	specific attributes
ཁྱད-གཞི-ཆོས-ཅན	basis of specifics possessing attributes
ཁྲུ-གང	cubit
ཁྲེལ-མེད-པ	Shamelessness, as one of the twenty subsidiary disturbances
ཁྲེལ-ཡོད-པ	Shame, as one of the eleven virtuous mental states
ཁྲོ-བ	Fury, as one of the twenty subsidiary disturbances
འཁོར-སེམས-བྱུང-གི-གཞི	Accompanying basis of mental states, as one of the fivefold basis of knowables
གོ-རིམ	Sequence, as one of the ten non-concurrent formations
གྲངས	Number, as one of the ten non-concurrent formations
གླང-གི-རྡུལ	cow particle
དགག-སྒྲུབ-ཀྱི-ཡན-ལག-བཞི	four aspects of refuting and establishing
དགེ-རྒྱས	Full Beauty
དགེ-བའི-རྩ-བ	virtuous roots
དགེ-བའི-སེམས-བྱུང-བཅུ-གཅིག	eleven virtuous mental states
དགེ-མི-དགེ-ལུང-མ-བསྟན	virtuous, unvirtuous or neutral
མགྱོགས-པ	Speed, as one of the ten non-concurrent formations
འགལ-བ-གཉིས	two types of opposition
འགལ-འབྲེལ	opposed and related things
འགལ-ཟླ-ཅིག-ཤོས	opposite factor
འགལ-ཟླའི-ཁྱབ-བྱ	object embraced by the opposite
འགོག-བདེན	truth of cessation, as interdependent links
འགོག-པའི-སྙོམས-འཇུག	serenity of cessation, as one of the fourteen non-concurrent formations
འགྱོད-པ	Regret, as one of the four variables
རྒ-བ	Aging, as one of the fourteen non-concurrent formations
རྒ-བ-འཆི-བ	old age and death, as one of the twelve links
རྒོད-པ	Excitement, as one of the twenty subsidiary disturbances
རྒྱ-ཆེན-པོའི-འདུ-ཤེས	vast perception
རྒྱགས-པ	Self-infatuation, as one of the twenty subsidiary disturbances
རྒྱང-གྲགས	mile
རྒྱས-བྱུང	development, as one of the three occurrences
རྒྱུ-མཐུན	causal resemblance, as one of the three occurrences
རྒྱུ-དང-བཅས-པ	basis for the causes
རྒྱུ-དང-འབྲེལ-བ	related causes, of inner interdependence
རྒྱུ-དང-འབྲེལ-བ-བདུན	seven related causes
རྒྱུ-འབྲས-ཀྱི-རྟེན-འབྲེལ	interdependence of cause and effect
རྒྱུ-གཟུགས-བཞི	four causal forms
རྒྱུན-ཆགས-པའི-རྟེན-འབྲེལ	continuous interdependence
རྒྱུན-བརྟན-པ	steady continuance
སྒོ-ལྔའི-ཤེས-པ	consciousnesses of the five sense-doors
སྒྱུ	Pretense, as one of the twenty subsidiary disturbances
སྒྲ	Sounds
སྒྲ-དོན	sound object
སྒྲ-རྡུལ	sound particle
སྒྲ-སྤྱི	sound-image
སྒྲུབ-ཚུལ-གྱི-ཐ-སྙད	designations of the ways of establishing
བརྒྱུད-འགལ	indirect opposition
ང-རྒྱལ	Arrogance, as one of the six root disturbances
ངེས-པ	Ascertainment
ངེས-པར-འབྱུང-བ	emancipation
ངེས-པར-འབྱུང-བ-དང-བཅས-པ	basis for renunciation
ངེས-འབྱིན	causing emancipation
ངེས-ཤེས	certain knowledge
ངོ-བོ	identity
ངོ-བོ-དང-བྱེད-ལས	identity and function
ངོ-ཚ-མེད-པ	Lack of conscience, as one of the twenty subsidiary disturbances
ངོ-ཚ-ཤེས-པ	Conscience, as one of the eleven virtuous mental states
དངོས-འགལ	direct opposition
དངོས-པོ	things, [concrete functional]
དངོས-མེད	non-things - [inconcrete, nonfunctional]
མངོན-པར-སྐབས-ཡོད-པའི-གཟུགས	Spatial form
མངོན-པར-གྲུབ-པའི-ཡན-ལག	fully established links
མངོན-པར-འགྲུབ-པའི-ཡན-ལག	fully establishing links
མངོན-འབྱུང-རྟེན-པའི-ཚོར-བ	sensations that support deliverance
མངོན-སུམ-སྣང-ལ-མ-ངེས-པ	direct perception without ascertainment
མངོན-སུམ-ཚད-མ	valid direct perception
ཅི-ཡང-མེད-པའི-སྐྱེ-མཆེད	sphere of nothing whatsoever
ཅི-ཡང-མེད-པའི-འདུ-ཤེས	perception of nothing whatsoever
གཅིག-པུ	singular
བཅད-ཤེས	decisiveness
ལྕགས-རྡུལ	iron particle
ཆགས-སྡང-གཏི-མུག	Attachment, aggression and delusion
ཆད-པ	 discontinuance|discontinuous 
ཆུ-ཁམས	water element
ཆུ-རྡུལ	water particle
ཆུང-ངུའི-འདུ-ཤེས	lesser perception
ཆོས	 phenomena, as mental objects|mental object 
ཆོས-ཀུན-གྱི-ཡུལ-ཅན	subject of all phenomena
ཆོས-ཀྱི-སྐྱེ-མཆེད	 mental object sources|mental object source 
ཆོས-ཀྱི-སྐྱེ-མཆེད-པའི-གཟུགས	forms that are mental objects
ཆོས-ཀྱི-སྐྱེ-མཆེད-པའི-གཟུགས-ལྔ	five types of forms that are mental objects
ཆོས-ཀྱི-ཁམས	 element of mental objects, as one of the eighteen elements|mental object elements 
ཆོས-ཀྱི-དབྱིངས	 realm of phenomena, dharmadhatu|Dharmadhatu, as suchness 
ཆོས-ཁམས	element of mental objects
ཆོས-ཁམས-བཅུ-དྲུག	sixteen elements of mental objects
ཆོས-ཁམས-བདུན	elements of mental objects
མཆོག-འཛིན-གཉིས	two types of holding to be paramount
འཆབ-པ	Concealment, as one of the twenty subsidiary disturbances
འཇིག-ལྟ	belief in the transitory collection
འཇིག-ཚོགས-ལ-ལྟ-བ	belief in the transitory collection, as one of the five beliefs
འཇིགས-སྲེད	fearful craving
འཇུག-ལྡོག	engagement in and disengagement from
འཇུག-པ	Regular sequence, as one of the ten non-concurrent formations
འཇུག-ཡུལ	engaged object, as one of the four types of objects
འཇུག-ཤེས-དྲུག	six kinds of engaged cognitions
རྗེས-དཔག-ཚད-མ	valid inference
རྗེས-དཔག-ཚད-མ-ལ-མ-བརྟེན-པའི-ཡིད-དཔྱོད	Assumption not supported by valid inference
རྗེས-སུ-འགྲོ-ལྡོག	engagement and disengagement
རྗོད-བྱེད	describing [word]
བརྗེད-ངས	Forgetfulness, as one of the twenty subsidiary disturbances
བརྗོད-བྱ-རྗོད-བྱེད	described and describing
ཉི-ཟེར-གྱི-རྡུལ	sunbeam particle
ཉེ-ཉོན-ཉི-ཤུ	twenty subsidiary disturbances
ཉེ-བར-ལེན-པ-བཞི	four graspings
ཉེ-བར-ལེན-པའི-རྣམ-ཤེས	perpetuating consciousness
ཉེ-བར-ལེན-པའི-ཕུང-པོ-ལྔ	five perpetuating aggregates
ཉོན-མོངས-པའི-གཞན-དབང	dependency of disturbance
ཉོན-མོངས-པའི-ཡིད-ཀྱི-རྣམ-ཤེས	disturbed mental cognition, as one of the eight collections of cognitions
ཉོན-མོངས-པས-ཀུན-ནས-ཉོན-མོངས	Affliction through disturbance
ཉོན-ཡིད	disturbed mental cognition
གཉིད	Sleep, as one of the four variables
སྙིང-རྗེ-བའི-སེམས	compassionate attitude
སྙོམས-འཇུག	serenity
སྙོམས-འཇུག-གཉིས	two serenitys
ཏིང-ངེ-འཛིན	Concentration, as one of the five object determining mental states
གཏི-མུག-མེད-པ	Non-delusion, as one of the eleven virtuous mental states
བཏགས-པ	imputations
བཏང-སྙོམས	 Equanimity, as one of the eleven virtuous mental states|indifference 
རྟག-པ-དང-ཆད-པ	permanent or discontinuous
རྟེན-ཅིང-འབྲེལ-བར-འབྱུང-བ	dependent origination
རྟེན-འབྲེལ-ཁྱད-པར-ལྔ	five special features of interdependence
རྟེན-འབྲེལ-གྱི-སྣང-བ-བསླུ-མེད	unfailing manifestation of interdependence
རྟེན-འབྲེལ-ཡན-ལག-བཅུ-གཉིས	 twelve aspects of interdependence|twelve links of interdependence 
རྟེན-འབྲེལ-ལུགས-ལྡོག	interdependent links in reverse order
རྟོག-བཅས-ཀྱི-ཁམས	elements with concepts
རྟོག-བཅས-ཀྱི-ཤེས-པ	 conceptual - [mental] cognition|conceptual cognition 
རྟོག-བཅས-རྟོག-མེད	conceptual and nonconceptual
རྟོག-པ	Concept, as one of the four variables
རྟོག-པ-དང-དཔྱོད-པ	conception and discernment, concerning the 18 elements
རྟོག-མེད-ཀྱི-ཤེས-པ	 mental cognition, nonconceptual|nonconceptual - [mental] cognition 
རྟོག-མེད-ཤེས-པ	nonconceptual cognition
ལྟ-བ	Belief, as one of the six root disturbances
ལྟ-བ-མཆོག-འཛིན	Holding a belief to be paramount, as one of the five beliefs
ལྟ-བའི-གནས	ground of beliefs
ལྟུང-བ	downfalls
སྟོང-གཉིས	two-thousandfold universe
སྟོང-གསུམ	three-thousandfold universe
བརྟན-པ-ཀུན-གཞི	ongoing all-ground
བསྟན-དུ-ཡོད-པའི-ཁམས	demonstrable element
ཐ-སྙད	 designations|designations 
ཐ-སྙད-བྱེད-པའི-ཚུལ-བཞི	four ways of making designations
ཐ-སྙད-ལ-མི-མཁས-པ	lack of skill in designations
ཐར-པ	emancipation
ཐེ-ཚོམ	 Doubt, as one of the six root disturbances|Doubting, as one of four types of cognition 
ཐོབ-པ	Acquisition, as one of the fourteen non-concurrent formations
ཐོས-པའི-ཐ-སྙད	designation of hearing
མཐར-འཛིན-པའི-ལྟ-བ	belief of holding extremes, as one of the five beliefs
མཐོང-བའི-ཐ-སྙད	designation of seeing
འཐབ-པ-དང-བཅས-པ	basis for strife
དད-པ	Faith, as one of the eleven virtuous mental states
དུས	 Time, as one of the ten non-concurrent formations|Time, as creator 
དུས-དང-གཏམ-གྱི-གཞི	basis for talk and time
དེ-བྱུང-འབྲེལ	resultant relationship
དེ-མཚུངས	resemblance, concerning the sense faculties
དེ-བཞིན-ཉིད	def. suchness, as one of the four unconditioned things
དོན-གྱི-སྤྱི	general object-image
དོན-འགལ	factual opposition
དོན-ལྔ	five sense objects
དོན-སྤྱི	object-image
དོན-རང-མཚན-གྱི-གཞན-སེལ	other-exclusion of the object's individual characteristics
དྲན-པ	Recollection, as one of the five object determining mental states
དྲན-པ-འཆལ-བ	erroneous mindfulness
དྲི	Odors
བདག	 self-entity|Self, as creator 
བདག-རྐྱེན	ruling condition
བདག-གཅིག-འབྲེལ	Same entity relationship
བདག-མེད-པའི-འདུ-ཤེས	perception of non-self
བདེ-བ	pleasure
བདེན-དོན-རྣམ-པ-བཅུ-གཉིས	twelvefold points of truth
འདུ-བྱེད	formation, as one of the twelve links
འདུ-བྱེད-ཀྱི-ཕུང-པོ	Aggregate of formations
འདུ-ཤེས	perceptions
འདུ-ཤེས-ཀྱི-ཕུང-པོ	Aggregate of perceptions
འདུ-ཤེས-མེད-པ	state of non-perception, as one of the fourteen non-concurrent formations
འདུ-ཤེས-མེད-པའི-སྙོམས-འཇུག	 Perceptionless serenity, as one of the fourteen non-concurrent formations|serenity of non-perception 
འདུ-ཤེས-མེད-པའི-ལྷ	perceptionless gods
འདུན-པ	 inclination|Intention, as one of the five object determining mental states 
འདུས-བྱས	conditioned things
འདུས-བྱས-སུ-མཚོན-པའི-མཚན-ཉིད-བཞི	four characteristics that indicate conditioned things
འདུས-མ-བྱས	unconditioned things
འདུས-མ-བྱས-ཀྱི-གཞི	basis of unconditioned things, as one of the fivefold basis of knowables
འདུས-མ-བྱས-བརྒྱད	eight unconditioned things
