ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
ཀུམ	Present: {ཀུམ} DS. \nPast: {ཀུམ} [DS].\nFuture: {ཀུམ} [DS].\nIntransitive: DS.\nMeaning: (archaic) To die DS.\nNote: Compare {འགུམ} 
ཀེར	Present: {ཀེར} CD, DK, DS, TC.\nPast: {ཀེརད} DK, {ཀེར} [DS].TC.\nFuture: {ཀེར} DK, TC, [DS].\nImperative: {ཀེརད} DK.- TC.\nInvoluntary:TC.Voluntary:(Hoshi 2003).\nIntransitive:DS, TC. \nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To erect, to point a finger toward the sky DK. To raise, lift up CD. To raise up (e.g. a finger) DS. To arise, get up TC.
ཀོང	{ཀོང} DK gives as the present of {བཀོང}. 
ཀྲང	Auxiliary: {ཀྲང} (Gyurme 1992: 150-152), (ngag dbang tshul khrim 1997).\nFunction: (archaic, main verb un-negated) Signifies the successful execution of an action (Gyurme 1992: 150-152).(archaic) A question word similar to {གམ} , {ངམ} , &c. (ngag dbang tshul khrim 1997).\nNote: Compare {གྲང} 
ཀྲབས	{ཀྲབས} LZ gives as the present of {བཀྲབ} 
ཀྲོངས	 see {དགྲོང}|{ཀྲོངས} LZ gives as the present of {དགྲོངས}  
ཀླན	Present: {ཀླན} [CD], DS, TC.\nPast: {ཀླན} [DS].\nFuture: {ཀླན} [CD], [DS].\nTransitive:DS, (Skorupski 2001).\nMeaning: 1. To wreak revenge for. [2. To mend, to patch] CD. 1. To avenge, to take revenge. 2. To answer, counter DS. (archaic) To answer, counter TC.
ཀླལ	{ཀླལ} CD, (DS) give as a present of {གླལ}. 
ཀླས	Present: {ཀླས} (Li & Coblin 1987), [TC], (ngag dbang tshul khrim 1997).\nMeaning: To be beyond, further than (Li & Coblin 1987). 1. To forget. 2. To arrive at the depths, meet the limit. 3. To understand (ngag dbang tshul khrim 1997).\nNote:CD, DS, TC prefer to see this as an adjective.
ཀླུབ	 Present: {ཀླུབས} LZ.{ཀླུབ} DK, DS, TC.\nPast: {བླུབས} (see note). {བཀླུབས} LZ, DK, DS, TC. \nFuture: {ཀླུབས} LZ.{བཀླུབ} DK, DS, TC.\nImperative:unattested {ལྷུབས} (see note).{ཀླུབས} LZ, DK, DS, TC.\nVoluntary: DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {ལྷུབ་པ} [Chang 1971: iv.13].\nCharacteristic Example: {ན་བཟའ་སོགས} LZ.\nMeaning: To adorn, put on another person; to make someone put on DK. To ornament, put on clothes DS. 1. To wear. 2. To adorn, decorate TC.\nNote: Root given as g + lhub (Hahn 1999).\nNote: For the form {བླུབས} (a. 1680) see (Eimer 1987); (Hahn 1999) suggests the inflection {ཀླུབ} , {བླུབས} , *{ཀླུབ} , *{ལྷུབས} ; for the imperative he compares lhab lhub 'excessively bedecked'. |Present: {ཀླུབ} CD, DK.\nPast: {ཀླུབས} CD, DK.\nFuture: {ཀླུབ} DK.\nImperative: {ཀླུབས} DK.\nCausative of: {ལྷུབ་པ} (Chang 1971: iv.13).\nMeaning: To cover the body with ornaments (Ja), to put on luxuriously (Cs), to set up a tent CD. To put on; to wear DK.\nNote: Root given as klub < *s-'-lhub, *b-lhub? (Chang 1971: iv.12) 
