ཀ-དག	primordial purity
ཀུན-ཉོན	thorough affliction
ཀུན-བརྟགས	imputation; imputed [nature]
ཀུན-རྫོབ	relative
ཀླན-ཀ	blame; criticism
ཀླུའི-རྒྱལ-པོ-རྒྱ-མཚོས-ཞུས-པ	Requested by Naga King Sagara
དཀའ-འགྲེལ	Commentary on Difficult Points
དཀོན-མཆོག-སྤྲིན	Precious Cloud
དཀོན-མཆོག-བརྩེགས-པ	Jewel Mound [Sutra]
བཀའ	Buddha's word
རྐྱེན	circumstance; condition
ལྐོག-གྱུར	hidden
སྐད-ཅིག-མར	momentary
སྐབས	context; occasion
སྐལ-ལྡན	endowed with fortune
སྐུ-གསུམ	three Bodies
སྐུར-འདེབས	denigration; deprecation; disparage
སྐུལ-བ	inspire
སྐྱེ-མཆེད	source
སྐྱེ-བུ	being
སྐྱེ-མེད	absence of origination
སྐྱེ-ལ-དྲ-བ-དགོགས-པའི-རིགས-པ	reasoning that refutes the resembling product
ཁ-བསྒྱུར	alteration; distortion
ཁམས	element
ཁས-ལེན-པ	accept; affirm; assert; claim
ཁེག-པ	hinder; invalidate; refute
ཁྱད	distinction; specific
ཁྱད-ཆོས	distinctive quality/property; special characteristic; special quality
ཁྱད-པར-ཅན	distinctive; distinguished; particular; special
ཁྱབ-པ	entail; pervasion
ཁྱབ-བྱ	pervaded; pervaded object;
ཁྱབ-བྱེད	pervader; pervading
མཁན-པོ	preceptor
མཁས-པ	expert; scholar
མཁས-པའི-ཡོན-ཏན	expertise
འཁོར-བ	cyclic existence
འཁོར-གསུམ	three spheres
འཁྲུལ-སྣང	delusive appearance
འཁྲུལ-པ	delusion; confusion
གང-ཟག-གི-བདག	personal self; self of the person
གོ-ས	status
གྲངས-ངེས	definitive enumeration; definitive number
གྲུབ-པའི-མཐ	philosophy; tenet
གླང-པོ-ཆེའི-རྩལ-གྱི-མདོ	Elephant's Strengt
དགག-བྱ	negandum; object of negation; object of refutation
དགག-བྱ-ཀག-པ	negation of the object to be refuted
དགེ-ལྡན	Gelug
དགེ-བའི-བཤེས-གཉེན	spiritual friend
དགེ-སྦྱོང-ཆེན-པོ	Great Mendicant
དགེ-སློང	master of virtue; monk
དགོངས-པ	intent; realization
དགོངས-འབྲེལ	commentary on the intent
དགོས-པ	purpose
དགྲ-བཅོམ-པ	foe destroyer
བགོ-གཞི	ground for infusion
མགལ-མེའི-ཁོར-ལོ	fire brand circle
འགལ-བ	conflict; contradict; incompatibility
འགོག-དུ-མེད-པ	irrefutable; undeniable; unimpeded
འགོག-པ	block; cessation; refute; negate; prevent
འགྲུབ-པ	accomplished; established
འགྲེལ-བ	comment; commentary; explain
འགྲོ-བ	wanderer; wandering being
