ཀ-ངོས	cylinder
ཀི-རེ-སིའི-རྨང-གཞིའི-ཡི-གེ	basic Greek
ཀུང-སི	company
ཀུན-ཁྱབ-རིགས-གྲས	universal type
ཀུན-མངོན	show all
ཀུན-འདེམས	select all
ཀོ-ཁུག	briefcase
ཀོང-ཡིག	characters cut in intaglio
ཀོར-ཏིག-གྲིབ-ནག	gouraud shading
ཀྱག-ཀྱོག	zigzag
ཀླད-ཀོར-ཁ-སྐོང	to zero fill
ཀླད-ཀོར-གནས-ཡུལ-བཀའ-བརྡ	zero address instruction
ཀླད-ཀོར-ཐང	zero value
ཀླད-ཀོར-དུ-དྲིལ-བའི-ལུགས-ཀྱི-ཟིན-ཐོ-འགོད-ཐབས	return-to-zero recording
ཀླད-ཀོར-དུ-མ-དྲིལ-བའི-ལུགས-ཀྱི-ཟིན-ཐོ-འགོད-ཐབས	non-return-to-zero recording
ཀླད-ཀོར-ཕྱིས-པའི-རྩོལ-ནུས	zero suppression function
ཀླད-ཀོར-བསུབ-པ	zero suppression
ཀླད-ཀོར-རིམ-པའི-གནས-ཡུལ	zero-level address
ཀླད-ཀོར	zero
ཀློག	to read
ཀློག-པ-ནོར-སྐྱོན	bad read
ཀློག-པ	read
ཀློག-པའི-ལྟ-སྤྱོད	read access
ཀློག-བྱེད-སྡུད-མགོ	read head
ཀློག-མི-ཐུབ	cannot read
ཀློག-ཙམ-གསོག-ཆས	read-only memory
ཀློག-ཙམ	read only
ཀློག-འཁོར-ཡུན	read cycle time
ཀློག-འབྲི-ཁ-དབྱེ	read/write opening
ཀློག-འབྲི-ཤུར-ཁ	read/write slot
ཀློག-འབྲི-སྡུད-མགོ	read/write head
ཀློག-འབྲི	read write
ཀློག-སྟེགས	read station
ཀློག-སྲུང	read protect
ཁ-ཐོར-གདམ-གསེས	diffusion selection
ཁ-དོག	color
ཁ-དོག-རེའུ-མིག	color table
ཁ-དོག-སྒྲིག-འགོད	color setup
ཁ-དོག-སྣོན-བརྩེགས	color overlay
ཁ-པར-ཁཱ	calling card
ཁ-པར-མཐུད-ལམ	phone line
