ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
སྐུ-མ-རྙོངས-པ	Abdomen is not misshapen
ཕྱལ-ཕྱང-ངེ-བ	Abdomen is slender
སྐུ-ལ-གཉེར-མ-མེད-པ	Abdomen that is unwrinkled
འོད-གསལ	 Luminous | Luminous Heaven| Luminous Heaven | Ābhāsvara |Luminous Heaven 
དངོས-པོ-མེད-པ-ལས-བྱུང	 Abhāva|Abhāva 
དངོས-པོ-མེད-པ-ལས-བྱུང-བ	 Abhāva|Abhāva 
ཆོས-མངོན-པ	 Abhidharma|Abhidharma 
མངོན-པར-ཤེས-ཐོབ	 Abhijñaprāpta|Abhijñaprāpta 
མངོན-པར-དགའ-བ	 Abhirati | Manobhirāma| Manobhirāma |Abhirati 
ཆོས-མངོན-པའི-མཛོད	 Abhi­dharma­kośa|Abhi­dharma­kośa 
མངོན-ཤེས-ཡེ-ཤེས-ཟིལ-གནོན	 Abhi­jñā­jñānābhi­bhū|Abhi­jñā­jñānābhi­bhū 
མངོན-པར-ཤེས-པའི-མེ-ཏོག-ཤིན-ཏུ-རྒྱས-པ	 Abhi­jñā­puṣpa­supari­pūrṇa|Abhi­jñā­puṣpa­supari­pūrṇa 
མངོན-འཕགས-རྒྱལ-པོ	 Abhyudgatarāja|Abhyudgatarāja 
གནས	 Abode | Reliable | Resting place | Sanctuary|Abide 
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད-ལ-གནས-པ	 Abides in the sense field of infinite consciousness| Abides in the sense field of infinite consciousness |Abides in the sense field of infinite consciousness 
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད-བསྒྲུབས-ཏེ-གནས-པ	 One achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite’| One achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite’ |One achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite’ 
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད-ལ-གནས-པ	 Abides in the sense field of infinite space| Abides in the sense field of infinite space |Abides in the sense field of infinite space 
