སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
ཕྱལ-ཕྱང-ངེ-བ	Fifty-eighth of the eighty minor marks.
སྐུ-ལ-གཉེར-མ-མེད-པ	Literally, “unwrinkled body;” fifty-ninth of the eighty minor marks.\nabdomen [lit. body] that is unwrinkled
འོད-གསལ	 Sixth god realm of form, meaning “luminosity.”| Sixth god realm of form, meaning “luminosity.” | The highest of the three paradises that are the second dhyāna paradises in the form realm. |The highest of the three paradises that are the second dhyāna paradises in the form realm. 
དངོས-པོ-མེད-པ-ལས-བྱུང	 A buddha countless eons in the past.\nAbhāva­samudgata|A buddha countless eons in the past.\nAbhāva­samudgata 
དངོས-པོ-མེད-པ-ལས-བྱུང-བ	 A buddha countless eons in the past.\nAbhāva­samudgata|A buddha countless eons in the past.\nAbhāva­samudgata 
ཆོས-མངོན-པ	 Conventionally, the general name for the Buddhist teachings presented in a scientific manner, as a fully elaborated transcendental psychology. As one of the branches of the Canon, it corresponds to the discipline of wisdom (the Sūtras corresponding to meditation, and the Vinaya to morality). Ultimately the Abhidharma is “pure wisdom, with its coordinate mental functions” (Prajñāmalā sānucārā), according to Vasubandhu.|Conventionally, the general name for the Buddhist teachings presented in a scientific manner, as a fully elaborated transcendental psychology. As one of the branches of the Canon, it corresponds to the discipline of wisdom (the Sūtras corresponding to meditation, and the Vinaya to morality). Ultimately the Abhidharma is “pure wisdom, with its coordinate mental functions” (Prajñāmalā sānucārā), according to Vasubandhu. 
མངོན-པར-ཤེས-ཐོབ	 A short form of Sāgara­vara­dhara­buddhi­vikrīḍitābhijña, the name that Ānanda will have when he is a buddha.|A short form of Sāgara­vara­dhara­buddhi­vikrīḍitābhijña, the name that Ānanda will have when he is a buddha. 
མངོན-པར-དགའ-བ	 Lit. “Intense Delight.” The universe, or buddhafield of the Tathāgata Akṣobhya, lying in the east beyond innumerable galaxies, whence Vimalakīrti came to reincarnate in our Sahā universe. | The realm in which Mahā­maudgalyāyana will become a buddha in the distant future.| The realm in which Mahā­maudgalyāyana will become a buddha in the distant future. | The realm of Buddha Akṣobhya in the east. | The realm of Buddha Akṣobhya, beyond countless buddha realms in the eastern direction. |Lit. “Intense Delight.” The universe, or buddhafield of the Tathāgata Akṣobhya, lying in the east beyond innumerable galaxies, whence Vimalakīrti came to reincarnate in our Sahā universe. 
ཆོས-མངོན-པའི-མཛོད	 An important work written by Vasubandhu, probably in the fourth century, as a critical compendium of the Abhidharmic science.|An important work written by Vasubandhu, probably in the fourth century, as a critical compendium of the Abhidharmic science. 
མངོན-ཤེས-ཡེ-ཤེས-ཟིལ-གནོན	 A shorter form of the name of Buddha Mahābhijñā­jñānābhi­bhū.|A shorter form of the name of Buddha Mahābhijñā­jñānābhi­bhū. 
མངོན-འཕགས-རྒྱལ-པོ	 An eon in the future.|An eon in the future. 
